## dioPeriod = 1.0
## scheduler = deBras
## numMotes = 50
## otfHousekeepingPeriod = 1.0
## slotframeLength = 101
## squareSide = 2.0
## cpuID = 53
## sixtopPdrThreshold = 1.5
## pkPeriod = 16.0
## sixtopNoHousekeeping = 0
## pkPeriodVar = 0.05
## numCyclesPerRun = 100
## combinationKeys = ['algorithm', 'buffer', 'burstTimestamp', 'numMotes', 'numPacketsBurst', 'otfThreshold', 'parents', 'pkPeriod', 'scheduler']
## numRuns = 1
## parents = 2
## otfThreshold = 0
## sixtopNoRemoveWorstCell = 0
## burstTimestamp = 20.0
## buffer = 100
## generateIndividualSummarys = False
## simDataDir = simData
## numChans = 16
## minRssi = -97
## sixtopHousekeepingPeriod = 1.0
## numBroadcastCells = 3
## algorithm = eotf
## numPacketsBurst = 80
## gui = False
## startTime = 1543956632.12
## otfEnabled = True
## slotDuration = 0.01
## overlappingBrCells = 0
## noInterference = 0


# LoadAllAvg LoadAllAvgWithZero LoadAllG LoadAllJain LoadAllMax LoadAllMin LoadCong5Avg LoadCong5AvgWithZero LoadCong5G LoadCong5Jain LoadCong5Max LoadCong5Min LoadCongAvg LoadCongAvgWithZero LoadCongG LoadCongJain LoadCongMax LoadCongMin PKTRX PKTTX appGenerated appReachesDagroot appRelayed aveHops aveHopsPackets aveLatency aveQueueDelay cellsNotGiven chargeConsumed collidedTxs cycle droppedAppFailedEnqueue droppedMacRetries droppedNoRoute droppedNoTxCells droppedQueueFull effectiveCollidedTxs numRandomSelections numReqCells numRx numRxCells numTx numTxCells otfAdd otfRemove probableCollisions rplChurnParentSet rplChurnPrefParent rplChurnRank rplRxDIO rplTxDIO runNum rxBroadcast scheduleCollisions thReqCells topRxRelocatedCells topTxRelocatedBundles topTxRelocatedCells txBroadcast txQueueFill
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0              0          0             0             0              0           0     0                       0                 0              0                0                0                    0                   0           0     0          0     0          0      0         0                  0                 0                  0            0        0        0      0           0                  0          0                   0                     0                   0           0           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            135          0             0             0        221.400           0     1                       0                 0              0                0                0                    0                   0           0     0         28     0         28     28         0                  0                82                 17           16      216       50      0           0                  0          0                   0                     0                   0           0           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            127          0             0             0      23681.760           4     2                       0                 0              0                0                0                    0                   0           0     0         71     0         71     43        30                  0                 5                 16           12      216       50      0       13800                  2          0                   0                     0                   0        2400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            127          0             0             0      82365.700           4     3                       0                 0              0                0                0                    0                   0           0     0         71     0         71      0        73                  0                 0                 14            0      216       50      0       14000                  2          0                   0                     0                   0        2500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            127          0             0             0     106105.810           4     4                       0                 0              0                0                0                    0                   0           0     0         71     0         71      0        71                  0                 0                 14            0      216       50      0       27750                  2          0                   0                     0                   0        4900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            127          0             0             0     164919.050           4     5                       0                 0              0                0                0                    0                   0           0     0         71     0         71      0        72                  0                 0                 14            0      216       50      0       28050                  2          0                   0                     0                   0        5000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            127          0             0             0     188723.810           4     6                       0                 0              0                0                0                    0                   0           0     0         71     0         71      0        73                  0                 0                 14            0      216       50      0       41850                  2          0                   0                     0                   0        7400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            127          0             0             0     247666.350           4     7                       0                 0              0                0                0                    0                   0           0     0         71     0         71      0        69                  0                 0                 14            0      216       50      0       42250                  2          0                   0                     0                   0        7500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            127          0             0             0     271083.210           4     8                       0                 0              0                0                0                    0                   0           0     0         71     0         71      0        71                  0                 0                 14            0      216       50      0       55750                  2          0                   0                     0                   0        9900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            127          0             0             0     329896.450           4     9                       0                 0              0                0                0                    0                   0           0     0         71     0         71      0        71                  0                 0                 14            0      216       50      0       56050                  2          0                   0                     0                   0       10000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            127          0             0             0     354347.710           4    10                       0                 0              0                0                0                    0                   0           0     0         71     0         71      0        75                  0                 0                 14            0      216       50      0       70350                  2          0                   0                     0                   0       12400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            127          0             0             0     413225.600           4    11                       0                 0              0                0                0                    0                   0           0     0         71     0         71      0        74                  0                 0                 14            0      216       50      0       70700                  2          0                   0                     0                   0       12500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            127          0             0             0     437676.860           4    12                       0                 0              0                0                0                    0                   0           0     0         71     0         71      0        72                  0                 0                 14            0      216       50      0       85000                  2          0                   0                     0                   0       14900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            127          0             0             0     496619.400           4    13                       0                 0              0                0                0                    0                   0           0     0         71     0         71      0        75                  0                 0                 14            0      216       50      0       85400                  2          0                   0                     0                   0       15000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            127          0             0             0     521781.810           4    14                       0                 0              0                0                0                    0                   0           0     0         71     0         71      0        75                  0                 0                 14            0      216       50      0      100250                  2          0                   0                     0                   0       17400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            127          0             0             0     580724.350           4    15                       0                 0              0                0                0                    0                   0           0     0         71     0         71      0        69                  0                 0                 14            0      216       50      0      100650                  2          0                   0                     0                   0       17500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            127          0             0             0     604917.010           4    16                       0                 0              0                0                0                    0                   0           0     0         71     0         71      0        70                  0                 0                 14            0      216       50      0      114750                  2          0                   0                     0                   0       19900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            127          0             0             0     663859.550           4    17                       0                 0              0                0                0                    0                   0           0     0         71     0         71      0        76                  0                 0                 14            0      216       50      0      115150                  2          0                   0                     0                   0       20000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            127          0             0             0     687535.010           4    18                       0                 0              0                0                0                    0                   0           0     0         71     0         71      0        72                  0                 0                 14            0      216       50      0      128850                  2          0                   0                     0                   0       22400           0
      48.448             47.479    0.000       0.691     89.000      0.696       63.905               47.290      0.001         0.908       89.000       39.500      63.905              47.290     0.001        0.908      89.000      39.500    31  3920         3920                31         87   1.000            127     14.548       249.627             0     764206.390         441    19                       0                 0              0                0                0                    5                   0         827   118       1166   132       1166     18        53                 10                 0                 14            0      216       50      0      129250                232        127                   0                     0                   0       22500        3889
       1.035              0.993    0.000       0.235     13.000      0.078        4.506                0.451      0.003         0.509       13.000        1.013       4.506               0.451     0.003        0.509      13.000       1.013   629  3920            0               598       1982   1.054            127     76.554      4192.916             0    1201330.900        4823    20                       0                 0              0                0                0                  359                   3        3104  2698       4865  3252       4865     61        20               1123                 5                 13           27      212       50      0      143800               3297        127                   0                     0                   0       24900        3291
       3.408              2.931    0.000       0.237     24.000      0.010        7.934                2.698      0.000         0.511       24.000        1.024       7.605               2.738     0.000        0.496      24.000       1.024  1445  3920            0               816       2276   1.922            138    171.672      5957.306             0    1750434.230        3453    21                       0                 0              0                0                0                  204                   3        1368  5790       3702  6914       3702     14        55               1341                20                 23           52      205       50      0      144150               2134        127                   1                     0                   0       25000        2475
       4.242              2.885    0.000       0.285     24.000      0.008       10.264                2.669      0.000         0.645       24.000        1.194       9.296               2.789     0.000        0.605      24.000       1.194  2276  3920            0               831       1446   2.593            139    273.921      5477.618             0    2139529.810        3247    22                       0                 0              0                0                0                  153                   3        1429  8067       3530  9450       3530     19        56                600                21                 15           64      208       50      0      158350               1964        127                   2                     0                   0       27400        1644
       5.785              2.314    0.000       0.382     23.000      0.011       12.015                2.163      0.003         0.747       23.000        2.000      10.240               2.253     0.000        0.659      23.000       1.500  2938  3920            0               662        706   3.311            130    368.085      5691.356             0    2446931.970        3207    23                       0                 0              0                0                0                  121                   3        1084  9435       3485 10916       3485     14        66                149                11                 11           60      214       50      0      158650               1922        127                   6                     0                   0       27500         982
       7.126              1.995    0.000       0.536     23.000      0.044       10.654                1.918      0.004         0.774       23.000        1.889       9.789               1.958     0.001        0.724      23.000       1.889  3347  3920            0               409        455   4.303            127    464.922      4979.315             0    2658141.470        3123    24                       0                 0              0                0                0                  107                   3         734 10299       3417 11838       3417      9        67                 63                12                  6           62      216       50      0      172750               1855        127                   2                     0                   0       29900         573
       6.377              1.785    0.000       0.496     22.000      0.007        9.724                1.750      0.001         0.742       22.000        1.016       9.724               1.750     0.001        0.742      22.000       1.016  3536  3920            0               189        291   5.915            127    576.259      5743.070             0    2858409.240        3093    25                       0                 0              0                0                0                  107                   3         499 10779       3395 12372       3395      1        75                 17                 3                  7           51      215       50      0      173100               1840        127                   0                     0                   0       30000         384
       6.390              1.533    0.000       0.516     21.000      0.044        9.479                1.517      0.007         0.757       21.000        3.500       9.479               1.517     0.007        0.757      21.000       3.500  3715  3920            0               179        273   6.575            127    677.799      5993.035             0    3016494.960        2886    26                       0                 0              0                0                0                  105                   3         344 11231       3252 12875       3252      4        68                 12                 6                  7           45      215       50      0      186600               1696        127                   1                     0                   0       32400         205
       8.667              1.387    0.004       0.719     20.000      2.500        9.333                1.307      0.012         0.744       20.000        2.500       8.667               1.387     0.004        0.719      20.000       2.500  3818  3920            0               103         81   7.369            127    761.282      5354.883             0    3175458.860        2879    27                       0                 0              0                0                0                  103                   3         244 11415       3246 13073       3246      1        70                  4                 2                  7           49      216       50      0      187000               1690        127                   2                     0                   0       32500         102
       7.792              1.247    0.002       0.676     19.000      2.000        9.556                1.147      0.041         0.777       19.000        3.333       7.792               1.247     0.002        0.676      19.000       2.000  3829  3920            0                11         29   3.909            127    883.636      6659.500             0    3281690.460        2879    28                       0                 0              0                0                0                  103                   3         143 11455       3247 13115       3247      0        72                  1                 0                  7           51      216       50      0      200400               1690        127                   0                     0                   0       34900          91
       7.042              1.127    0.000       0.626     18.000      1.000        8.889                1.067      0.030         0.754       18.000        2.333       7.905               1.107     0.005        0.692      18.000       2.000  3839  3920            0                10         21   3.800            127    978.100      6447.000             0    3422587.950        2879    29                       0                 0              0                0                0                  103                   3          89 11486       3248 13150       3248      0        75                  0                 0                  7           41      216       50      0      200750               1690        127                   0                     0                   0       35000          81
       7.286              1.020    0.005       0.685     17.000      2.000        9.000                0.900      0.074         0.775       17.000        2.500       7.286               1.020     0.005        0.685      17.000       2.000  3849  3920            0                10         26   4.400            127   1084.000      7160.000             0    3529216.460        2878    30                       0                 0              0                0                0                  104                   3          62 11522       3248 13190       3248      0        69                  1                 1                  7           27      216       50      0      214700               1690        127                   0                     0                   0       37400          71
       6.286              0.880    0.001       0.618     16.000      1.000        9.625                0.770      0.271         0.851       16.000        5.500       7.167               0.860     0.012        0.690      16.000       1.500  3859  3920            0                10         27   3.700            127   1186.100      8289.833             0    3670606.590        2878    31                       0                 0              0                0                0                  104                   3          53 11559       3249 13227       3249      0        76                  1                 0                  7           45      216       50      0      215050               1690        127                   0                     0                   1       37500          61
       6.167              0.740    0.002       0.623     15.000      0.500        8.625                0.690      0.216         0.821       15.000        4.500       7.300               0.730     0.045        0.728      15.000       2.000  3869  3920            0                10         27   3.900            127   1287.200      8528.667             0    3777142.310        2880    32                       0                 0              0                0                0                  105                   3          49 11596       3250 13265       3250      0        72                  0                 0                  7           40      216       50      0      228950               1691        127                   0                     0                   0       39900          51
       6.300              0.630    0.018       0.665     14.000      1.000        7.625                0.610      0.159         0.782       14.000        3.500       7.625               0.610     0.159        0.782      14.000       3.500  3877  3920            0                 8         20   3.750            127   1387.500      7673.000             0    3917786.670        2882    33                       0                 0              0                0                0                  105                   3          45 11624       3251 13296       3251      0        78                  0                 0                  7           40      216       50      0      229350               1692        127                   0                     0                   0       40000          43
       6.625              0.530    0.103       0.731     13.000      2.500        7.500                0.450      0.223         0.753       13.000        2.500       6.625               0.530     0.103        0.731      13.000       2.500  3884  3920            0                 7         18   3.857            127   1491.571      7380.500             0    4023095.280        2885    34                       0                 0              0                0                0                  105                   3          41 11649       3253 13321       3253      1        75                  0                 1                  7           45      216       50      0      243400               1694        127                   0                     0                   0       42400          36
       5.750              0.460    0.070       0.685     12.000      2.000        9.000                0.360      0.707         0.900       12.000        6.000       5.750               0.460     0.070        0.685      12.000       2.000  3889  3920            0                 5         10   3.400            127   1598.000      6297.500             0    4162225.890        2886    35                       0                 0              0                0                0                  106                   3          38 11664       3254 13337       3254      0        73                  0                 0                  7           31      216       50      0      243850               1695        127                   0                     0                   0       42500          31
       4.750              0.380    0.026       0.598     11.000      1.000        8.000                0.320      0.655         0.877       11.000        5.000       6.000               0.360     0.184        0.720      11.000       2.000  3895  3920            0                 6         11   3.167            127   1693.167      6679.000             0    4266905.340        2886    36                       0                 0              0                0                0                  106                   3          37 11681       3255 13354       3255      0        77                  0                 0                  7           15      216       50      0      258100               1695        127                   0                     0                   0       44900          25
       5.000              0.300    0.092       0.641     10.000      1.000        7.000                0.280      0.588         0.845       10.000        4.000       7.000               0.280     0.588        0.845      10.000       4.000  3901  3920            0                 6         11   3.167            127   1794.167      7074.000             0    4406165.320        2888    37                       0                 0              0                0                0                  106                   3          37 11698       3256 13371       3256      0        70                  0                 0                  7           22      216       50      0      258500               1696        127                   0                     0                   0       45000          19
       6.000              0.240    0.500       0.800      9.000      3.000        6.000                0.240      0.500         0.800        9.000        3.000       6.000               0.240     0.500        0.800       9.000       3.000  3905  3920            0                 4         10   4.000            127   1901.250      5589.500             0    4511213.880        2888    38                       0                 0              0                0                0                  106                   3          36 11712       3257 13386       3257      0        75                  0                 0                  7           18      216       50      0      273200               1696        127                   0                     0                   0       47400          15
       5.000              0.200    0.383       0.735      8.000      2.000        8.000                0.160      1.000         1.000        8.000        8.000       5.000               0.200     0.383        0.735       8.000       2.000  3908  3920            0                 3          7   4.000            127   2016.667      3928.000             0    4649533.870        2890    39                       0                 0              0                0                0                  106                   3          35 11722       3258 13396       3258      0        71                  0                 0                  7           14      216       50      0      273450               1697        127                   0                     0                   0       47500          12
       4.000              0.160    0.223       0.640      7.000      1.000        7.000                0.140      1.000         1.000        7.000        7.000       7.000               0.140     1.000        1.000       7.000       7.000  3911  3920            0                 3          8   4.333            127   2118.667      3489.000             0    4754345.090        2890    40                       0                 0              0                0                0                  106                   3          35 11733       3259 13409       3259      0        74                  0                 0                  7           13      216       50      0      288150               1697        127                   0                     0                   0       49900           9
       6.000              0.120    1.000       1.000      6.000      6.000        6.000                0.120      1.000         1.000        6.000        6.000       6.000               0.120     1.000        1.000       6.000       6.000  3914  3920            0                 3          7   4.000            127   2218.667      3488.000             0    4892778.930        2890    41                       0                 0              0                0                0                  106                   3          35 11743       3260 13419       3260      0        71                  0                 0                  7           10      216       50      0      288450               1697        127                   0                     0                   0       50000           6
       5.000              0.100    1.000       1.000      5.000      5.000        5.000                0.100      1.000         1.000        5.000        5.000       5.000               0.100     1.000        1.000       5.000       5.000  3915  3920            0                 1          3   4.000            127   2329.000      2329.000             0    4995332.220        2890    42                       0                 0              0                0                0                  106                   3          35 11747       3261 13423       3261      0        73                  0                 0                  7           13      216       50      0      302100               1697        127                   0                     0                   0       52400           5
       4.000              0.080    1.000       1.000      4.000      4.000            0                    0          1             1            0            0       4.000               0.080     1.000        1.000       4.000       4.000  3916  3920            0                 1          2   3.000            127   2430.000      2430.000             0    5133124.890        2892    43                       0                 0              0                0                0                  107                   3          32 11750       3262 13427       3262      0        74                  0                 0                  7            3      216       50      0      302450               1698        127                   0                     0                   0       52500           4
       3.000              0.060    1.000       1.000      3.000      3.000            0                    0          1             1            0            0       3.000               0.060     1.000        1.000       3.000       3.000  3917  3920            0                 1          3   4.000            127   2531.000      2531.000             0    5235533.430        2894    44                       0                 0              0                0                0                  108                   3          32 11754       3263 13431       3263      0        78                  0                 0                  7            4      216       50      0      315950               1699        127                   0                     0                   0       54900           3
       2.000              0.040    1.000       1.000      2.000      2.000            0                    0          1             1            0            0       2.000               0.040     1.000        1.000       2.000       2.000  3918  3920            0                 1          3   4.000            127   2632.000      2632.000             0    5373362.950        2894    45                       0                 0              0                0                0                  108                   3          32 11758       3264 13435       3264      0        75                  0                 0                  7            3      216       50      0      316250               1699        127                   0                     0                   0       55000           2
       1.000              0.020    1.000       1.000      1.000      1.000            0                    0          1             1            0            0           0                   0         1            1           0           0  3919  3920            0                 1          3   4.000            127   2733.000      2733.000             0    5475949.990        2896    46                       0                 0              0                0                0                  108                   3          33 11762       3266 13439       3266      0        80                  0                 0                  7            1      216       50      0      329850               1700        127                   0                     0                   0       57400           1
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 1          3   4.000            127   2834.000      2834.000             0    5613893.360        2896    47                       0                 0              0                0                0                  108                   3          32 11766       3266 13443       3266      0        71                  0                 0                  7            3      216       50      0      330200               1700        127                   0                     0                   0       57500           0
