## dioPeriod = 1.0
## scheduler = deBras
## numMotes = 50
## otfHousekeepingPeriod = 1.0
## slotframeLength = 101
## squareSide = 2.0
## cpuID = 45
## sixtopPdrThreshold = 1.5
## pkPeriod = 16.0
## sixtopNoHousekeeping = 0
## pkPeriodVar = 0.05
## numCyclesPerRun = 100
## combinationKeys = ['algorithm', 'buffer', 'burstTimestamp', 'numMotes', 'numPacketsBurst', 'otfThreshold', 'parents', 'pkPeriod', 'scheduler']
## numRuns = 1
## parents = 1
## otfThreshold = 10
## sixtopNoRemoveWorstCell = 0
## burstTimestamp = 20.0
## buffer = 100
## generateIndividualSummarys = False
## simDataDir = simData
## numChans = 16
## minRssi = -97
## sixtopHousekeepingPeriod = 1.0
## numBroadcastCells = 3
## algorithm = local_voting
## numPacketsBurst = 80
## gui = False
## startTime = 1543851638.37
## otfEnabled = True
## slotDuration = 0.01
## overlappingBrCells = 0
## noInterference = 0


# LoadAllAvg LoadAllAvgWithZero LoadAllG LoadAllJain LoadAllMax LoadAllMin LoadCong5Avg LoadCong5AvgWithZero LoadCong5G LoadCong5Jain LoadCong5Max LoadCong5Min LoadCongAvg LoadCongAvgWithZero LoadCongG LoadCongJain LoadCongMax LoadCongMin PKTRX PKTTX appGenerated appReachesDagroot appRelayed aveHops aveHopsPackets aveLatency aveQueueDelay cellsNotGiven chargeConsumed collidedTxs cycle droppedAppFailedEnqueue droppedMacRetries droppedNoRoute droppedNoTxCells droppedQueueFull effectiveCollidedTxs numRandomSelections numReqCells numRx numRxCells numTx numTxCells otfAdd otfRemove probableCollisions rplChurnParentSet rplChurnPrefParent rplChurnRank rplRxDIO rplTxDIO runNum rxBroadcast scheduleCollisions thReqCells topRxRelocatedCells topTxRelocatedBundles topTxRelocatedCells txBroadcast txQueueFill
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0              0          0             0             0              0           0     0                       0                 0              0                0                0                    0                   0           0     0          0     0          0      0         0                  0                 0                  0            0        0        0      0           0                  0          0                   0                     0                   0           0           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            148          0             0             0         73.800           0     1                       0                 0              0                0                0                    0                   0           0     0         28     0         28     28         0                  0                65                 16           16      237       50      0           0                  0          0                   0                     0                   0           0           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            135          0             0             0      22463.160           0     2                       0                 0              0                0                0                    0                   0           0     0         49     0         49     21         0                  0                 2                  2           12      237       50      0       13200                  0          0                   0                     0                   0        2400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            135          0             0             0      81123.100           0     3                       0                 0              0                0                0                    0                   0           0     0         49     0         49      0         0                  0                 0                  0            1      237       50      0       13800                  0          0                   0                     0                   0        2500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            135          0             0             0     103029.010           0     4                       0                 0              0                0                0                    0                   0           0     0         49     0         49      0         0                  0                 0                  0            0      237       50      0       26550                  0          0                   0                     0                   0        4900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            135          0             0             0     161624.300           0     5                       0                 0              0                0                0                    0                   0           0     0         49     0         49      0         0                  0                 0                  0            0      237       50      0       27100                  0          0                   0                     0                   0        5000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            135          0             0             0     183400.910           0     6                       0                 0              0                0                0                    0                   0           0     0         49     0         49      0         0                  0                 0                  0            0      237       50      0       39750                  0          0                   0                     0                   0        7400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            135          0             0             0     242060.850           0     7                       0                 0              0                0                0                    0                   0           0     0         49     0         49      0         0                  0                 0                  0            0      237       50      0       40350                  0          0                   0                     0                   0        7500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            135          0             0             0     263190.960           0     8                       0                 0              0                0                0                    0                   0           0     0         49     0         49      0         0                  0                 0                  0            0      237       50      0       52500                  0          0                   0                     0                   0        9900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            135          0             0             0     321592.300           0     9                       0                 0              0                0                0                    0                   0           0     0         49     0         49      0         0                  0                 0                  0            0      237       50      0       52900                  0          0                   0                     0                   0       10000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            135          0             0             0     343433.560           0    10                       0                 0              0                0                0                    0                   0           0     0         49     0         49      0         0                  0                 0                  0            0      237       50      0       65600                  0          0                   0                     0                   0       12400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            135          0             0             0     402287.450           0    11                       0                 0              0                0                0                    0                   0           0     0         49     0         49      0         0                  0                 0                  0            0      237       50      0       66350                  0          0                   0                     0                   0       12500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            135          0             0             0     424710.560           0    12                       0                 0              0                0                0                    0                   0           0     0         49     0         49      0         0                  0                 0                  0            0      237       50      0       79500                  0          0                   0                     0                   0       14900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            135          0             0             0     483370.500           0    13                       0                 0              0                0                0                    0                   0           0     0         49     0         49      0         0                  0                 0                  0            0      237       50      0       80100                  0          0                   0                     0                   0       15000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            135          0             0             0     505276.410           0    14                       0                 0              0                0                0                    0                   0           0     0         49     0         49      0         0                  0                 0                  0            0      237       50      0       92850                  0          0                   0                     0                   0       17400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            135          0             0             0     564001.000           0    15                       0                 0              0                0                0                    0                   0           0     0         49     0         49      0         0                  0                 0                  0            0      237       50      0       93500                  0          0                   0                     0                   0       17500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            135          0             0             0     585777.610           0    16                       0                 0              0                0                0                    0                   0           0     0         49     0         49      0         0                  0                 0                  0            0      237       50      0      106150                  0          0                   0                     0                   0       19900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            135          0             0             0     644308.250           0    17                       0                 0              0                0                0                    0                   0           0     0         49     0         49      0         0                  0                 0                  0            0      237       50      0      106650                  0          0                   0                     0                   0       20000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            135          0             0             0     665890.910           0    18                       0                 0              0                0                0                    0                   0           0     0         49     0         49      0         0                  0                 0                  0            0      237       50      0      119150                  0          0                   0                     0                   0       22400           0
      69.753             68.358    0.000       0.856    107.000      0.335       81.310               68.300      0.042         0.996      107.000       79.000      81.310              68.300     0.042        0.996     107.000      79.000    36  3920         3920                36         65   1.000            135     13.639       197.827             0     738951.480         274    19                       0                 0              0                0                0                    0                   0           0   101       1171   104       1171      7         0                  0                 0                  0            0      237       50      0      119800                137        135                   0                     0                   0       22500        3884
       0.489              0.392    0.000       0.591      2.466      0.006        2.466                0.049      1.000         1.000        2.466        2.466       2.466               0.049     1.000        1.000       2.466       2.466   534  3920            0               498       2762   1.169            135     68.275      3721.729            93    1436818.230        8124    20                       0                 0              0                0                0                 3942                  15           0  3361       8126  5656       8126     43         8               3512                 0                  0           29      236       50      0      132150               6558        135                   2                     0                   0       24900        3386
       2.571              1.646    0.000       0.069     55.000      0.032        8.439                1.350      0.000         0.187       55.000        1.100       7.835               1.410     0.000        0.181      55.000       1.100   816  3920            0               282       2579   1.652            173    172.975      4888.906             0    2119082.350        4532    21                       0                 0              0                0                0                 1552                  25           0  6222       4627 10800       4627     32        43               3376                26                 26           45      204       50      0      132750               3059        135                   9                     0                   0       25000        3104
       2.518              1.309    0.000       0.136     34.000      0.191        4.324                1.124      0.000         0.202       34.000        1.048       4.158               1.164     0.000        0.201      34.000       1.048  1568  3920            0               752       1403   2.707            137    274.939      4523.775             0    2514107.540        1240    22                       0                 0              0                0                0                  116                  28           0  8377       2110 13689       2110     29        32               1276                24                 24           58      221       50      0      145300                652        135                   5                     0                   0       27400        2352
       1.262              0.581    0.000       0.770      2.778      0.167        1.877                0.375      0.147         0.931        2.778        1.111       1.843               0.405     0.110        0.932       2.778       1.111  2142  3920            0               574        610   2.859            155    368.451      4173.484             0    2756990.850         411    23                       0                 0              0                0                0                    6                  28           0  9561       1266 15050       1266     11        25                153                 7                  7           51      230       50      0      145850                208        135                   2                     0                   0       27500        1778
       1.469              0.499    0.000       0.800      3.146      0.230        1.977                0.316      0.176         0.945        3.146        1.591       1.923               0.423     0.077        0.949       3.146       1.333  2516  3920            0               374        600   3.120            136    475.770      5682.044             0    2926761.300         153    24                       0                 0              0                0                0                    1                  28           0 10535       1004 16117       1004     10        18                 66                 5                  5           58      235       50      0      158800                 77        135                   0                     0                   0       29900        1404
       1.269              0.330    0.027       0.887      2.000      0.500        1.455                0.204      0.501         0.972        1.926        1.182       1.520               0.274     0.408        0.968       2.000       1.182  3089  3920            0               573        119   3.948            135    574.609      4324.758             0    3089720.020          34    25                       0                 0              0                0                0                    0                  28           0 11227        620 16866        620      7        14                  2                 2                  2           48      236       50      0      159400                 17        135                   0                     0                   0       30000         831
       1.254              0.251    0.290       0.948      1.667      0.778        1.395                0.195      0.661         0.973        1.667        1.029       1.395               0.195     0.661        0.973       1.667       1.029  3481  3920            0               392         29   4.536            135    673.972      4064.409             0    3174691.120          24    26                       0                 0              0                0                0                    0                  28           0 11648        386 17323        386      0        16                  0                 0                  0           53      236       50      0      172500                 12        135                   0                     0                   0       32400         439
       1.204              0.193    0.286       0.958      1.750      0.892        1.281                0.128      0.547         0.963        1.750        1.015       1.290               0.155     0.509        0.969       1.750       1.015  3734  3920            0               253         18   4.960            135    772.960      3875.243             0    3273364.230          14    27                       0                 0              0                0                0                    0                  28           0 11919        214 17614        214      0         7                  0                 0                  0           46      236       50      0      173150                  7        135                   0                     0                   0       32500         186
       0.896              0.143    0.541       0.954      1.045      0.500        1.045                0.021      1.000         1.000        1.045        1.045       1.045               0.021     1.000        1.000       1.045       1.045  3856  3920            0               122          6   5.066            135    871.270      3050.585             0    3314212.230           4    28                       0                 0              0                0                0                    0                  28           0 12047        113 17751        113      0         7                  0                 0                  0           48      236       50      0      186050                  2        135                   0                     0                   0       34900          64
       1.052              0.084    0.147       0.773      2.000      0.583            0                    0          1             1            0            0       2.000               0.040     1.000        1.000       2.000       2.000  3905  3920            0                49          2   4.551            135    972.510      2973.071             0    3380081.760           2    29                       0                 0              0                0                0                    0                  28           0 12098         67 17803         67      0         7                  0                 0                  0           45      236       50      0      186700                  1        135                   0                     0                   0       35000          15
       1.000              0.020    1.000       1.000      1.000      1.000            0                    0          1             1            0            0           0                   0         1            1           0           0  3918  3920            0                13          0   4.154            135   1062.923      1257.486             0    3404815.400           0    30                       0                 0              0                0                0                    0                  28           0 12111         51 17817         51      3         4                  0                 2                  2           45      236       50      0      200200                  0        135                   0                     0                   0       37400           2
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 2          0   4.000            136   1153.500       586.500             0    3463928.130           0    31                       0                 0              0                0                0                    0                  28           0 12113         49 17819         49      1         2                  0                 1                  1           34      235       50      0      200950                  0        135                   0                     0                   0       37500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            135          0             0             0    3485381.490           0    32                       0                 0              0                0                0                    0                  28           0 12113         49 17819         49      1         1                  0                 1                  1           18      236       50      0      213350                  0        135                   0                     0                   0       39900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            135          0             0             0    3544041.430           0    33                       0                 0              0                0                0                    0                  28           0 12113         49 17819         49      0         0                  0                 0                  0            1      236       50      0      213950                  0        135                   0                     0                   0       40000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            135          0             0             0    3565753.390           0    34                       0                 0              0                0                0                    0                  28           0 12113         49 17819         49      0         0                  0                 0                  0            0      236       50      0      226550                  0        135                   0                     0                   0       42400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            135          0             0             0    3624348.680           0    35                       0                 0              0                0                0                    0                  28           0 12113         49 17819         49      0         0                  0                 0                  0            0      236       50      0      227100                  0        135                   0                     0                   0       42500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            135          0             0             0    3646060.640           0    36                       0                 0              0                0                0                    0                  28           0 12113         49 17819         49      0         0                  0                 0                  0            0      236       50      0      239700                  0        135                   0                     0                   0       44900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            135          0             0             0    3704785.230           0    37                       0                 0              0                0                0                    0                  28           0 12113         49 17819         49      0         0                  0                 0                  0            0      236       50      0      240350                  0        135                   0                     0                   0       45000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            135          0             0             0    3726561.840           0    38                       0                 0              0                0                0                    0                  28           0 12113         49 17819         49      0         0                  0                 0                  0            0      236       50      0      253000                  0        135                   0                     0                   0       47400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            135          0             0             0    3785157.130           0    39                       0                 0              0                0                0                    0                  28           0 12113         49 17819         49      0         0                  0                 0                  0            0      236       50      0      253550                  0        135                   0                     0                   0       47500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            135          0             0             0    3806416.540           0    40                       0                 0              0                0                0                    0                  28           0 12113         49 17819         49      0         0                  0                 0                  0            0      236       50      0      265800                  0        135                   0                     0                   0       49900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            135          0             0             0    3865141.130           0    41                       0                 0              0                0                0                    0                  28           0 12113         49 17819         49      0         0                  0                 0                  0            0      236       50      0      266450                  0        135                   0                     0                   0       50000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            135          0             0             0    3886335.890           0    42                       0                 0              0                0                0                    0                  28           0 12113         49 17819         49      0         0                  0                 0                  0            0      236       50      0      278650                  0        135                   0                     0                   0       52400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            135          0             0             0    3944866.530           0    43                       0                 0              0                0                0                    0                  28           0 12113         49 17819         49      0         0                  0                 0                  0            0      236       50      0      279150                  0        135                   0                     0                   0       52500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            135          0             0             0    3966578.490           0    44                       0                 0              0                0                0                    0                  28           0 12113         49 17819         49      0         0                  0                 0                  0            0      236       50      0      291750                  0        135                   0                     0                   0       54900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            135          0             0             0    4025109.130           0    45                       0                 0              0                0                0                    0                  28           0 12113         49 17819         49      0         0                  0                 0                  0            0      236       50      0      292250                  0        135                   0                     0                   0       55000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            135          0             0             0    4046109.940           0    46                       0                 0              0                0                0                    0                  28           0 12113         49 17819         49      0         0                  0                 0                  0            0      236       50      0      304300                  0        135                   0                     0                   0       57400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            135          0             0             0    4104769.880           0    47                       0                 0              0                0                0                    0                  28           0 12113         49 17819         49      0         0                  0                 0                  0            0      236       50      0      304900                  0        135                   0                     0                   0       57500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            135          0             0             0    4126352.540           0    48                       0                 0              0                0                0                    0                  28           0 12113         49 17819         49      0         0                  0                 0                  0            0      236       50      0      317400                  0        135                   0                     0                   0       59900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            135          0             0             0    4185206.430           0    49                       0                 0              0                0                0                    0                  28           0 12113         49 17819         49      0         0                  0                 0                  0            0      236       50      0      318150                  0        135                   0                     0                   0       60000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            135          0             0             0    4206983.040           0    50                       0                 0              0                0                0                    0                  28           0 12113         49 17819         49      0         0                  0                 0                  0            0      236       50      0      330800                  0        135                   0                     0                   0       62400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            135          0             0             0    4265707.630           0    51                       0                 0              0                0                0                    0                  28           0 12113         49 17819         49      0         0                  0                 0                  0            0      236       50      0      331450                  0        135                   0                     0                   0       62500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            135          0             0             0    4286902.390           0    52                       0                 0              0                0                0                    0                  28           0 12113         49 17819         49      0         0                  0                 0                  0            0      236       50      0      343650                  0        135                   0                     0                   0       64900           0
