## dioPeriod = 1.0
## scheduler = deBras
## numMotes = 50
## otfHousekeepingPeriod = 1.0
## slotframeLength = 101
## squareSide = 2.0
## cpuID = 59
## sixtopPdrThreshold = 1.5
## pkPeriod = 16.0
## sixtopNoHousekeeping = 0
## pkPeriodVar = 0.05
## numCyclesPerRun = 100
## combinationKeys = ['algorithm', 'buffer', 'burstTimestamp', 'numMotes', 'numPacketsBurst', 'otfThreshold', 'parents', 'pkPeriod', 'scheduler']
## numRuns = 1
## parents = 3
## otfThreshold = 1
## sixtopNoRemoveWorstCell = 0
## burstTimestamp = 20.0
## buffer = 100
## generateIndividualSummarys = False
## simDataDir = simData
## numChans = 16
## minRssi = -97
## sixtopHousekeepingPeriod = 1.0
## numBroadcastCells = 3
## algorithm = otf
## numPacketsBurst = 80
## gui = False
## startTime = 1543979119.39
## otfEnabled = True
## slotDuration = 0.01
## overlappingBrCells = 0
## noInterference = 0


# LoadAllAvg LoadAllAvgWithZero LoadAllG LoadAllJain LoadAllMax LoadAllMin LoadCong5Avg LoadCong5AvgWithZero LoadCong5G LoadCong5Jain LoadCong5Max LoadCong5Min LoadCongAvg LoadCongAvgWithZero LoadCongG LoadCongJain LoadCongMax LoadCongMin PKTRX PKTTX appGenerated appReachesDagroot appRelayed aveHops aveHopsPackets aveLatency aveQueueDelay cellsNotGiven chargeConsumed collidedTxs cycle droppedAppFailedEnqueue droppedMacRetries droppedNoRoute droppedNoTxCells droppedQueueFull effectiveCollidedTxs numRandomSelections numReqCells numRx numRxCells numTx numTxCells otfAdd otfRemove probableCollisions rplChurnParentSet rplChurnPrefParent rplChurnRank rplRxDIO rplTxDIO runNum rxBroadcast scheduleCollisions thReqCells topRxRelocatedCells topTxRelocatedBundles topTxRelocatedCells txBroadcast txQueueFill
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0              0          0             0             0              0           0     0                       0                 0              0                0                0                    0                   0           0     0          0     0          0      0         0                  0                 0                  0            0        0        0      0           0                  0          0                   0                     0                   0           0           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            121          0             0             0        246.000           0     1                       0                 0              0                0                0                    0                   0           0     0         40     0         40     40         0                  0                87                 17           11      234       50      0           0                  0          0                   0                     0                   0           0           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            118          0             0             0      25192.710           0     2                       0                 0              0                0                0                    0                   0           0     0         80     0         80     40         0                  0                 3                 12            0      234       50      0       14550                  0          0                   0                     0                   0        2400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            118          0             0             0      84421.300           0     3                       0                 0              0                0                0                    0                   0           0     0         80     0         80      0         0                  0                 0                 12            0      234       50      0       15000                  0          0                   0                     0                   0        2500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            118          0             0             0     109093.960           0     4                       0                 0              0                0                0                    0                   0           0     0         80     0         80      0         0                  0                 0                 12            0      234       50      0       29300                  0          0                   0                     0                   0        4900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            118          0             0             0     168257.900           0     5                       0                 0              0                0                0                    0                   0           0     0         80     0         80      0         0                  0                 0                 12            0      234       50      0       29700                  0          0                   0                     0                   0        5000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            118          0             0             0     192284.060           0     6                       0                 0              0                0                0                    0                   0           0     0         80     0         80      0         0                  0                 0                 12            0      234       50      0       43500                  0          0                   0                     0                   0        7400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            118          0             0             0     251448.000           0     7                       0                 0              0                0                0                    0                   0           0     0         80     0         80      0         0                  0                 0                 12            0      234       50      0       43900                  0          0                   0                     0                   0        7500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            118          0             0             0     275732.760           0     8                       0                 0              0                0                0                    0                   0           0     0         80     0         80      0         0                  0                 0                 12            0      234       50      0       57900                  0          0                   0                     0                   0        9900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            118          0             0             0     334961.350           0     9                       0                 0              0                0                0                    0                   0           0     0         80     0         80      0         0                  0                 0                 12            0      234       50      0       58350                  0          0                   0                     0                   0       10000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            118          0             0             0     359634.010           0    10                       0                 0              0                0                0                    0                   0           0     0         80     0         80      0         0                  0                 0                 12            0      234       50      0       72650                  0          0                   0                     0                   0       12400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            118          0             0             0     418927.250           0    11                       0                 0              0                0                0                    0                   0           0     0         80     0         80      0         0                  0                 0                 12            0      234       50      0       73150                  0          0                   0                     0                   0       12500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            118          0             0             0     443276.660           0    12                       0                 0              0                0                0                    0                   0           0     0         80     0         80      0         0                  0                 0                 12            0      234       50      0       87200                  0          0                   0                     0                   0       14900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            118          0             0             0     502699.200           0    13                       0                 0              0                0                0                    0                   0           0     0         80     0         80      0         0                  0                 0                 12            0      234       50      0       87800                  0          0                   0                     0                   0       15000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            118          0             0             0     526208.160           0    14                       0                 0              0                0                0                    0                   0           0     0         80     0         80      0         0                  0                 0                 12            0      234       50      0      101200                  0          0                   0                     0                   0       17400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            118          0             0             0     585566.050           0    15                       0                 0              0                0                0                    0                   0           0     0         80     0         80      0         0                  0                 0                 12            0      234       50      0      101750                  0          0                   0                     0                   0       17500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            118          0             0             0     610368.010           0    16                       0                 0              0                0                0                    0                   0           0     0         80     0         80      0         0                  0                 0                 12            0      234       50      0      116150                  0          0                   0                     0                   0       19900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            118          0             0             0     669661.250           0    17                       0                 0              0                0                0                    0                   0           0     0         80     0         80      0         0                  0                 0                 12            0      234       50      0      116650                  0          0                   0                     0                   0       20000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            118          0             0             0     694139.960           0    18                       0                 0              0                0                0                    0                   0           0     0         80     0         80      0         0                  0                 0                 12            0      234       50      0      130800                  0          0                   0                     0                   0       22400           0
      48.209             47.245    0.000       0.702    100.000      0.615       58.879               47.103      0.000         0.855      100.000       25.667      58.879              47.103     0.000        0.855     100.000      25.667     6  3920         3920                 6         91   1.000            118     16.500       249.187             0     767135.310         251    19                       0                 0              0                0                0                    0                   0         658    97        918   103        918     13         0                  6                 0                 12            0      234       50      0      131250                126        118                   0                     0                   0       22500        3914
       0.789              0.742    0.000       0.699      2.688      0.051        1.465                0.352      0.015         0.895        2.688        1.043       1.465               0.352     0.015        0.895       2.688       1.043   450  3920            0               444       2531   1.128            118     81.592      4045.048             0    1255753.960        4611    20                       0                 0              0                0                0                  455                   2        3032  3072       4701  3575       4701     81        11               1155                14                 21           28      234       50      0      145400               3133        118                   0                     0                   0       24900        3470
       1.543              1.265    0.000       0.594      6.500      0.062        2.046                0.982      0.000         0.673        6.500        1.016       2.023               1.052     0.000        0.684       6.500       1.016  1223  3920            0               773       1834   1.947            123    172.731      6169.838             0    1734910.880        2002    21                       0                 0              0                0                0                  120                   3        1597  5679       2599  6749       2599     37        57                955                36                 31           61      226       50      0      145800               1135        118                   0                     0                   0       25000        2697
       1.464              1.201    0.000       0.611      5.500      0.118        2.091                0.962      0.000         0.751        5.500        1.020       2.060               0.989     0.000        0.750       5.500       1.020  1911  3920            0               688       1149   2.403            118    272.833      7221.806             0    2035711.240        1119    22                       0                 0              0                0                0                   31                   3        1119  7516       1946  8764       1946     38        36                250                27                 16           66      230       50      0      160400                594        118                   0                     0                   0       27400        2009
       1.832              1.282    0.000       0.425     11.667      0.059        2.820                1.072      0.000         0.567       11.667        1.039       2.779               1.112     0.000        0.571      11.667       1.039  2535  3920            0               624        705   3.087            121    374.090      8292.752             0    2294096.760         575    23                       0                 0              0                0                0                    4                   3         914  8845       1427 10203       1427     17        47                113                23                  5           61      233       50      0      160900                296        118                   0                     0                   0       27500        1385
       2.559              1.433    0.000       0.368     15.000      0.324        4.311                1.207      0.000         0.534       15.000        1.350       3.796               1.291     0.000        0.497      15.000       1.333  3014  3920            0               479        398   3.524            118    473.779      7795.153             0    2449295.550         223    24                       0                 0              0                0                0                    2                   3         495  9722        886 11137        886     13        39                 39                22                 18           61      234       50      0      175150                114        118                   0                     0                   0       29900         906
       2.811              1.293    0.000       0.399     11.000      0.143        4.665                1.213      0.000         0.624       11.000        1.111       4.665               1.213     0.000        0.624      11.000       1.111  3316  3920            0               302        241   4.013            118    579.775      7445.633             0    2588579.620         126    25                       0                 0              0                0                0                    2                   3         424 10265        631 11701        631     12        41                 14                15                  7           60      234       50      0      175500                 64        118                   0                     0                   0       30000         604
       3.939              1.260    0.000       0.537     10.500      0.057        5.454                1.200      0.001         0.715       10.500        1.711       5.166               1.240     0.000        0.694      10.500       1.711  3511  3920            0               195         93   4.277            118    680.108      7627.079             0    2658863.710          61    26                       0                 0              0                0                0                    2                   3         283 10553        417 12010        417      7        32                  3                 9                 14           52      233       50      0      189850                 31        118                   0                     0                   0       32400         409
       4.627              1.388    0.000       0.457     19.000      0.045        6.194                1.363      0.000         0.602       19.000        1.571       6.194               1.363     0.000        0.602      19.000       1.571  3612  3920            0               101         58   4.594            118    779.168      6417.168             0    2744342.510          21    27                       0                 0              0                0                0                    0                   3         174 10712        287 12178        287      3        25                  1                 4                 19           51      233       50      0      190250                 11        118                   0                     0                   0       32500         308
       5.081              1.524    0.000       0.406     20.000      0.067        7.357                1.471      0.000         0.569       20.000        1.385       7.357               1.471     0.000        0.569      20.000       1.385  3673  3920            0                61         46   4.689            118    882.115      7195.806             0    2786151.000          11    28                       0                 0              0                0                0                    0                   3         118 10819        216 12287        216      3        20                  0                 5                 19           48      233       50      0      204700                  6        118                   0                     0                   0       34900         247
       6.370              1.529    0.000       0.504     20.000      0.200        8.212                1.478      0.000         0.631       20.000        1.111       7.591               1.518     0.000        0.596      20.000       1.111  3714  3920            0                41         32   4.488            118    979.585      6921.767             0    2857001.840           6    29                       0                 0              0                0                0                    0                   3          89 10892        186 12362        186      4        10                  0                 7                 13           49      234       50      0      205200                  3        118                   0                     0                   1       35000         206
       5.177              1.346    0.000       0.446     19.000      0.143        8.638                1.209      0.007         0.685       19.000        2.333       8.058               1.289     0.002        0.667      19.000       2.333  3744  3920            0                30         22   4.867            118   1077.200      7414.117             0    2889557.430           6    30                       0                 0              0                0                0                    0                   3          69 10944        158 12416        158      2         8                  0                 7                 15           48      234       50      0      219150                  3        118                   0                     0                   0       37400         176
       5.121              1.229    0.000       0.465     18.000      0.333        8.079                1.131      0.008         0.685       18.000        3.000       7.444               1.191     0.002        0.656      18.000       3.000  3770  3920            0                26         21   4.654            118   1177.885      7359.387             0    2956305.520           4    31                       0                 0              0                0                0                    0                   3          51 10991        145 12466        145      1         6                  0                 1                 18           47      234       50      0      219600                  2        118                   0                     0                   0       37500         150
       5.707              1.027    0.000       0.526     17.000      0.400        6.995                0.979      0.003         0.619       17.000        2.667       6.371               1.019     0.001        0.583      17.000       2.000  3791  3920            0                21         23   4.952            118   1281.000      7905.308             0    2988392.410           4    32                       0                 0              0                0                0                    0                   3          51 11035        146 12510        146      2         0                  0                 2                 11           47      234       50      0      234450                  2        118                   0                     0                   0       39900         129
       5.193              0.935    0.000       0.499     16.000      0.667        6.438                0.901      0.002         0.599       16.000        1.667       6.438               0.901     0.002        0.599      16.000       1.667  3807  3920            0                16         19   4.938            118   1380.375      7483.017             0    3053473.440           4    33                       0                 0              0                0                0                    0                   3          50 11070        144 12547        144      1         2                  0                 0                 11           47      234       50      0      234900                  2        118                   0                     0                   0       40000         113
       5.496              0.879    0.000       0.559     15.000      0.667        7.083                0.850      0.021         0.698       15.000        3.000       7.083               0.850     0.021        0.698      15.000       3.000  3824  3920            0                17         18   4.882            118   1481.000      7938.733             0    3083979.900           2    34                       0                 0              0                0                0                    0                   3          46 11105        138 12582        138      0         3                  0                 0                 11           46      234       50      0      249400                  1        118                   0                     0                   0       42400          96
       5.652              0.791    0.001       0.605     14.000      0.667        6.483                0.778      0.017         0.683       14.000        2.400       6.483               0.778     0.017        0.683      14.000       2.400  3838  3920            0                14         16   4.929            118   1581.071      7080.983             0    3148367.780           2    35                       0                 0              0                0                0                    0                   3          43 11135        138 12614        138      1         1                  0                 1                 11           46      234       50      0      249900                  1        118                   0                     0                   0       42500          82
       5.983              0.718    0.011       0.671     13.000      1.400        6.780                0.678      0.046         0.727       13.000        1.400       5.983               0.718     0.011        0.671      13.000       1.400  3853  3920            0                15         11   5.067            118   1679.200      6363.433             0    3177657.280           2    36                       0                 0              0                0                0                    0                   3          41 11161        136 12641        136      1         1                  0                 2                 11           46      234       50      0      264300                  1        118                   0                     0                   0       44900          67
       4.711              0.565    0.001       0.543     12.000      0.600        6.667                0.533      0.100         0.729       12.000        1.667       6.667               0.533     0.100        0.729      12.000       1.667  3864  3920            0                11          9   4.364            118   1780.909      5992.500             0    3240621.490           2    37                       0                 0              0                0                0                    0                   3          39 11181        134 12662        134      1         2                  0                 0                 11           46      234       50      0      264750                  1        118                   0                     0                   0       45000          56
       6.250              0.500    0.139       0.762     11.000      2.000        7.667                0.460      0.492         0.877       11.000        4.000       6.250               0.500     0.139        0.762      11.000       2.000  3875  3920            0                11         10   4.727            118   1881.909      5895.667             0    3268201.570           2    38                       0                 0              0                0                0                    0                   3          39 11202        134 12683        134      1         1                  0                 1                 11           46      234       50      0      278350                  1        118                   0                     0                   0       47400          45
       6.125              0.490    0.119       0.781     10.000      1.000        7.833                0.470      0.760         0.963       10.000        6.500       7.833               0.470     0.760        0.963      10.000       6.500  3882  3920            0                 7          5   5.286            118   1988.714      4156.000             0    3330000.950           2    39                       0                 0              0                0                0                    0                   3          36 11214        128 12695        128      0         1                  0                 2                 11           46      234       50      0      278750                  1        118                   0                     0                   0       47500          38
       5.292              0.423    0.022       0.732      9.000      0.167        7.000                0.420      0.750         0.961        9.000        6.000       7.000               0.420     0.750        0.961       9.000       6.000  3886  3920            0                 4          4   5.250            118   2086.750      4343.500             0    3357542.910           2    40                       0                 0              0                0                0                    0                   3          34 11222        126 12705        126      0         1                  0                 0                 11           33      234       50      0      293550                  1        118                   0                     0                   0       49900          34
       6.000              0.360    0.691       0.947      8.000      5.000        6.000                0.360      0.691         0.947        8.000        5.000       6.000               0.360     0.691        0.947       8.000       5.000  3892  3920            0                 6          4   4.667            118   2190.000      4230.167             0    3419138.950           2    41                       0                 0              0                0                0                    0                   3          34 11232        129 12715        129      3         0                  0                 5                 11           34      234       50      0      294050                  1        118                   0                     0                   0       50000          28
       5.000              0.300    0.611       0.926      7.000      4.000        5.000                0.300      0.611         0.926        7.000        4.000       5.000               0.300     0.611        0.926       7.000       4.000  3897  3920            0                 5          3   5.000            118   2296.600      4429.000             0    3446551.440           2    42                       0                 0              0                0                0                    0                   3          33 11240        127 12724        127      0         0                  0                 1                 11           31      234       50      0      308800                  1        118                   0                     0                   0       52400          23
       4.000              0.240    0.500       0.889      6.000      3.000        4.000                0.240      0.500         0.889        6.000        3.000       4.000               0.240     0.500        0.889       6.000       3.000  3902  3920            0                 5          4   5.600            118   2398.800      4627.000             0    3508119.610           2    43                       0                 0              0                0                0                    0                   3          33 11249        127 12733        127      0         0                  0                 0                 11           11      234       50      0      309350                  1        118                   0                     0                   0       52500          18
       3.000              0.180    0.345       0.818      5.000      2.000        5.000                0.100      1.000         1.000        5.000        5.000       3.000               0.180     0.345        0.818       5.000       2.000  3907  3920            0                 5          4   5.400            118   2499.800      4791.500             0    3535002.550           2    44                       0                 0              0                0                0                    0                   3          33 11258        127 12742        127      1         0                  0                 2                 11           28      234       50      0      323650                  1        118                   0                     0                   0       54900          13
       2.000              0.120    0.146       0.667      4.000      1.000            0                    0          1             1            0            0       4.000               0.080     1.000        1.000       4.000       4.000  3912  3920            0                 5          3   6.000            118   2599.600      4893.500             0    3596429.170           2    45                       0                 0              0                0                0                    0                   3          33 11266        126 12751        126      1         0                  0                 2                 11           28      234       50      0      324150                  1        118                   0                     0                   0       55000           8
       3.000              0.060    1.000       1.000      3.000      3.000            0                    0          1             1            0            0       3.000               0.060     1.000        1.000       3.000       3.000  3917  3920            0                 5          3   6.400            118   2700.600      4869.000             0    3622588.710           2    46                       0                 0              0                0                0                    0                   3          33 11274        126 12760        126      0         0                  0                 0                 11           20      234       50      0      337950                  1        118                   0                     0                   0       57400           3
       2.000              0.040    1.000       1.000      2.000      2.000            0                    0          1             1            0            0       2.000               0.040     1.000        1.000       2.000       2.000  3918  3920            0                 1          1   5.000            118   2840.000      2161.000             0    3683183.140           2    47                       0                 0              0                0                0                    0                   3          33 11276        126 12762        126      0         0                  0                 0                 11           20      234       50      0      338400                  1        118                   0                     0                   0       57500           2
       1.000              0.020    1.000       1.000      1.000      1.000            0                    0          1             1            0            0           0                   0         1            1           0           0  3919  3920            0                 1          1   5.000            118   2941.000      2161.000             0    3708833.740           2    48                       0                 0              0                0                0                    0                   3          33 11278        126 12764        126      0         0                  0                 0                 11            2      234       50      0      352400                  1        118                   0                     0                   0       59900           1
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 1          1   5.000            118   3042.000      2060.000             0    3769557.470           2    49                       0                 0              0                0                0                    0                   3          33 11280        126 12766        126      0         0                  0                 0                 11           11      234       50      0      352950                  1        118                   0                     0                   0       60000           0
