## dioPeriod = 1.0
## scheduler = deBras
## numMotes = 50
## otfHousekeepingPeriod = 1.0
## slotframeLength = 101
## squareSide = 2.0
## cpuID = 40
## sixtopPdrThreshold = 1.5
## pkPeriod = 16.0
## sixtopNoHousekeeping = 0
## pkPeriodVar = 0.05
## numCyclesPerRun = 100
## combinationKeys = ['algorithm', 'buffer', 'burstTimestamp', 'numMotes', 'numPacketsBurst', 'otfThreshold', 'parents', 'pkPeriod', 'scheduler']
## numRuns = 2
## parents = 3
## otfThreshold = 4
## sixtopNoRemoveWorstCell = 0
## burstTimestamp = 20.0
## buffer = 100
## generateIndividualSummarys = False
## simDataDir = simData_notmoving
## numChans = 16
## minRssi = -97
## sixtopHousekeepingPeriod = 1.0
## numBroadcastCells = 3
## algorithm = eotf
## numPacketsBurst = 80
## gui = False
## startTime = 1567188506.33
## otfEnabled = True
## slotDuration = 0.01
## overlappingBrCells = 0
## noInterference = 0


# LoadAllAvg LoadAllAvgWithZero LoadAllG LoadAllJain LoadAllMax LoadAllMin LoadCong5Avg LoadCong5AvgWithZero LoadCong5G LoadCong5Jain LoadCong5Max LoadCong5Min LoadCongAvg LoadCongAvgWithZero LoadCongG LoadCongJain LoadCongMax LoadCongMin PKTRX PKTTX appGenerated appReachesDagroot appRelayed aveHops aveHopsPackets aveLatency aveQueueDelay cellsNotGiven chargeConsumed collidedTxs cycle droppedAppFailedEnqueue droppedMacRetries droppedNoRoute droppedNoTxCells droppedQueueFull effectiveCollidedTxs numRandomSelections numReqCells numRx numRxCells numTx numTxCells otfAdd otfRemove probableCollisions rplChurnParentSet rplChurnPrefParent rplChurnRank rplRxDIO rplTxDIO runNum rxBroadcast scheduleCollisions thReqCells topRxRelocatedCells topTxRelocatedBundles topTxRelocatedCells txBroadcast txQueueFill
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0              0          0             0             0              0           0     0                       0                 0              0                0                0                    0                   0           0     0          0     0          0      0         0                  0                 0                  0            0        0        0      0           0                  0          0                   0                     0                   0           0           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            136          0             0             0        221.400           2     1                       0                 0              0                0                0                    0                   0           0     0         36     0         36     36         0                  0                87                 10            8      220       50      0           0                  1          0                   0                     0                   0           0           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            129          0             0             0      23961.510           2     2                       0                 0              0                0                0                    0                   0           0     0         81     0         81     46         0                  0                 5                  7           14      220       50      0       13750                  1          0                   0                     0                   0        2400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            129          0             0             0      83562.550           2     3                       0                 0              0                0                0                    0                   0           0     0         82     0         82      1         0                  0                 0                  8            0      220       50      0       14450                  1          0                   0                     0                   0        2500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            129          0             0             0     107831.860           2     4                       0                 0              0                0                0                    0                   0           0     0         82     0         82      0         0                  0                 0                  8            0      220       50      0       28400                  1          0                   0                     0                   0        4900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            129          0             0             0     167174.300           2     5                       0                 0              0                0                0                    0                   0           0     0         82     0         82      0         0                  0                 0                  8            0      220       50      0       28900                  1          0                   0                     0                   0        5000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            129          0             0             0     191314.310           2     6                       0                 0              0                0                0                    0                   0           0     0         82     0         82      0         0                  0                 0                  8            0      220       50      0       42750                  1          0                   0                     0                   0        7400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            129          0             0             0     250721.400           2     7                       0                 0              0                0                0                    0                   0           0     0         82     0         82      0         0                  0                 0                  8            0      220       50      0       43300                  1          0                   0                     0                   0        7500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            129          0             0             0     275184.660           2     8                       0                 0              0                0                0                    0                   0           0     0         82     0         82      0         0                  0                 0                  8            0      220       50      0       57400                  1          0                   0                     0                   0        9900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            129          0             0             0     334591.750           2     9                       0                 0              0                0                0                    0                   0           0     0         82     0         82      0         0                  0                 0                  8            0      220       50      0       57950                  1          0                   0                     0                   0       10000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            129          0             0             0     360154.060           2    10                       0                 0              0                0                0                    0                   0           0     0         82     0         82      0         0                  0                 0                  8            0      220       50      0       72900                  1          0                   0                     0                   0       12400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            129          0             0             0     419496.500           2    11                       0                 0              0                0                0                    0                   0           0     0         82     0         82      0         0                  0                 0                  8            0      220       50      0       73400                  1          0                   0                     0                   0       12500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            129          0             0             0     443442.560           2    12                       0                 0              0                0                0                    0                   0           0     0         82     0         82      0         0                  0                 0                  8            0      220       50      0       87100                  1          0                   0                     0                   0       14900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            129          0             0             0     502849.650           2    13                       0                 0              0                0                0                    0                   0           0     0         82     0         82      0         0                  0                 0                  8            0      220       50      0       87650                  1          0                   0                     0                   0       15000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            129          0             0             0     526860.360           2    14                       0                 0              0                0                0                    0                   0           0     0         82     0         82      0         0                  0                 0                  8            0      220       50      0      101400                  1          0                   0                     0                   0       17400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            129          0             0             0     586332.100           2    15                       0                 0              0                0                0                    0                   0           0     0         82     0         82      0         0                  0                 0                  8            0      220       50      0      102000                  1          0                   0                     0                   0       17500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            129          0             0             0     611700.460           2    16                       0                 0              0                0                0                    0                   0           0     0         82     0         82      0         0                  0                 0                  8            0      220       50      0      116800                  1          0                   0                     0                   0       19900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            129          0             0             0     671236.850           2    17                       0                 0              0                0                0                    0                   0           0     0         82     0         82      0         0                  0                 0                  8            0      220       50      0      117450                  1          0                   0                     0                   0       20000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            129          0             0             0     695570.810           2    18                       0                 0              0                0                0                    0                   0           0     0         82     0         82      0         0                  0                 0                  8            0      220       50      0      131450                  1          0                   0                     0                   0       22400           0
      48.357             47.390    0.000       0.721     87.000      0.636       57.646               47.270      0.000         0.857       87.000       26.000      57.646              47.270     0.000        0.857      87.000      26.000    11  3920         3920                11         63   1.000            129     15.818       242.843             0     765518.680         189    19                       0                 0              0                0                0                    4                   0         566    74        867    79        867     12         0                  3                 0                  8            0      220       50      0      132000                 96        129                   0                     0                   0       22500        3909
       0.631              0.580    0.000       0.814      1.570      0.066        1.235                0.124      0.687         0.979        1.570        1.082       1.235               0.124     0.687        0.979       1.570       1.082   466  3920            0               455       2316   1.112            129     78.987      4179.295             0    1234868.150        5546    20                       0                 0              0                0                0                  641                   3        3498  2845       5553  3437       5553     81         6               1304                10                 10           23      219       50      0      146850               3985        129                   0                     0                   0       24900        3454
       0.688              0.413    0.000       0.671      1.749      0.029        1.306                0.235      0.397         0.974        1.749        1.051       1.306               0.235     0.397        0.974       1.749       1.051  1160  3920            0               694       2698   1.906            130    170.522      5367.107             0    1863326.460        5286    21                       0                 0              0                0                0                  697                   6        1567  6237       5303  7588       5303     34        60               1647                31                 20           50      207       50      0      147400               3735        129                  12                     0                   0       25000        2760
       0.589              0.224    0.000       0.656      1.552      0.017        1.212                0.097      0.716         0.972        1.552        1.011       1.212               0.097     0.716        0.972       1.552       1.011  1985  3920            0               825       1476   2.560            130    272.050      3008.734             0    2306896.740        5327    22                       0                 0              0                0                0                 1059                  11        1490  8538       5347 10279       5347     22        64                638                24                 23           54      211       50      0      161200               3779        129                  19                     0                   0       27400        1935
       0.440              0.114    0.000       0.571      1.049      0.010        1.049                0.021      1.000         1.000        1.049        1.049       1.049               0.021     1.000        1.000       1.049       1.049  2832  3920            0               847        760   3.208            130    371.708      1871.261             0    2688904.680        4888    23                       0                 0              0                0                0                  770                  52        1096 10145       4940 12109       4940     13        74                267                21                 12           58      214       50      0      161700               3372        129                  32                     0                   0       27500        1088
       0.315              0.038    0.000       0.607      0.639      0.005            0                    0          1             1            0            0           0                   0         1            1           0           0  3598  3920            0               766        370   4.184            130    471.516      1164.435             0    2966522.300        4488    24                       0                 0              0                0                0                  589                 103         707 11281       4573 13372       4573     13        82                 97                17                 21           58      214       50      0      175300               3005        129                  36                     0                   0       29900         322
       0.135              0.005    0.029       0.519      0.266      0.005            0                    0          1             1            0            0           0                   0         1            1           0           0  3881  3920            0               283        154   5.731            130    561.399       428.160             0    3185756.950        4221    25                       0                 0              0                0                0                  577                 182         386 11718       4359 13835       4359      7        78                  2                12                 15           53      215       50      0      175850               2791        129                  27                     0                   0       30000          39
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                39          0   6.308            130    640.949        62.974             0    3317623.300        3936    26                       0                 0              0                0                0                  632                 258         236 11757       4128 13877       4128      3        75                  0                 6                  8           57      215       50      0      190300               2564        129                   4                     0                   0       32400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            130          0             0             0    3474895.490        3704    27                       0                 0              0                0                0                  660                 325         125 11757       3946 13877       3946      1        75                  0                 0                 12           40      215       50      0      190950               2380        129                   0                     0                   0       32500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            130          0             0             0    3592186.550        3473    28                       0                 0              0                0                0                  692                 400          71 11757       3755 13877       3755      3        72                  0                 2                  9           43      216       50      0      204850               2188        129                   0                     0                   0       34900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            130          0             0             0    3741113.040        3269    29                       0                 0              0                0                0                  724                 467          45 11757       3597 13877       3597      1        69                  0                 0                 11           43      216       50      0      205400               2032        129                   0                     0                   0       35000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            130          0             0             0    3850160.250        3063    30                       0                 0              0                0                0                  732                 543          34 11757       3444 13877       3444      1        66                  0                 3                 17           43      216       50      0      219450               1880        129                   0                     0                   0       37400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            130          0             0            25    3991113.490        2828    31                       0                 0              0                0                0                  708                 615          29 11757       3279 13877       3279      0        64                  0                 0                  7           44      216       50      0      220150               1715        129                   0                     0                   0       37500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            130          0             0            60    4092706.900        2628    32                       0                 0              0                0                0                  657                 696          28 11757       3137 13877       3137      6        50                  0                 2                 12           40      216       50      0      234200               1573        129                   0                     0                   0       39900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            130          0             0            63    4226363.090        2449    33                       0                 0              0                0                0                  603                 776          28 11757       3014 13877       3014      3        44                  0                 0                  5           38      216       50      0      234850               1447        129                   0                     0                   0       40000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            130          0             0            62    4321957.550        2314    34                       0                 0              0                0                0                  564                 858          27 11757       2916 13877       2916      2        36                  0                 6                  6           39      216       50      0      249150               1349        129                   0                     0                   0       42400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            130          0             0            62    4450078.740        2187    35                       0                 0              0                0                0                  537                 938          27 11757       2830 13877       2830      4        34                  0                 3                  6           32      215       50      0      249800               1263        129                   0                     0                   0       42500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            130          0             0            61    4542220.650        2053    36                       0                 0              0                0                0                  505                1022          27 11757       2744 13877       2744      2        33                  0                 3                  7           33      216       50      0      264550               1178        129                   0                     0                   0       44900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            130          0             0            61    4666399.540        1946    37                       0                 0              0                0                0                  481                1104          27 11757       2675 13877       2675      1        27                  0                 3                  5           36      216       50      0      265100               1110        129                   0                     0                   0       45000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            130          0             0            61    4754180.350        1847    38                       0                 0              0                0                0                  462                1184          27 11757       2607 13877       2607      0        27                  0                 0                  4           35      216       50      0      279350               1047        129                   0                     0                   0       47400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            130          0             0            65    4875324.290        1738    39                       0                 0              0                0                0                  428                1261          27 11757       2540 13877       2540      1        26                  0                 2                  4           34      216       50      0      279950                981        129                   0                     0                   0       47500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            130          0             0            61    4959559.250        1631    40                       0                 0              0                0                0                  386                1333          27 11757       2472 13877       2472      1        27                  0                 2                  4           34      216       50      0      293950                911        129                   0                     0                   0       49900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            130          0             0            52    5077496.040        1550    41                       0                 0              0                0                0                  365                1404          26 11757       2419 13877       2419      2        26                  0                 2                  4           36      217       50      0      294600                860        129                   0                     0                   0       50000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            130          0             0            60    5158188.000        1460    42                       0                 0              0                0                0                  333                1477          26 11757       2363 13877       2363      2        24                  0                 2                  5           33      217       50      0      308200                804        129                   0                     0                   0       52400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            130          0             0            68    5272840.390        1338    43                       0                 0              0                0                0                  304                1553          26 11757       2295 13877       2295      0        25                  0                 0                  5           32      217       50      0      308650                736        129                   0                     0                   0       52500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            130          0             0            56    5351079.250        1242    44                       0                 0              0                0                0                  284                1626          25 11757       2236 13877       2236      0        26                  0                 0                  6           34      217       50      0      322750                678        129                   0                     0                   0       54900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            130          0             0            60    5463038.240        1139    45                       0                 0              0                0                0                  265                1702          25 11757       2177 13877       2177      1        25                  0                 0                  7           34      217       50      0      323400                619        129                   0                     0                   0       55000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            130          0             0            60    5537746.100        1028    46                       0                 0              0                0                0                  235                1779          25 11757       2112 13877       2112      1        27                  0                 1                  9           34      217       50      0      336900                555        129                   0                     0                   0       57400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            130          0             0            56    5646703.890         962    47                       0                 0              0                0                0                  219                1854          25 11757       2072 13877       2072      1        21                  0                 1                  8           35      217       50      0      337550                512        129                   0                     0                   0       57500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            130          0             0            60    5718893.400         878    48                       0                 0              0                0                0                  195                1930          25 11757       2023 13877       2023      0        22                  0                 0                  5           32      217       50      0      351100                467        129                   0                     0                   0       59900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            130          0             0            60    5825538.790         808    49                       0                 0              0                0                0                  165                2003          25 11757       1981 13877       1981      1        20                  0                 2                  5           36      217       50      0      351750                428        129                   0                     0                   0       60000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            130          0             0            62    5896604.200         707    50                       0                 0              0                0                0                  129                2072          25 11757       1924 13877       1924      1        23                  0                 3                  6           42      218       50      0      366200                369        129                   0                     0                   0       62400           0
