## dioPeriod = 1.0
## scheduler = deBras
## numMotes = 50
## otfHousekeepingPeriod = 1.0
## slotframeLength = 101
## squareSide = 2.0
## cpuID = 25
## sixtopPdrThreshold = 1.5
## pkPeriod = 16.0
## sixtopNoHousekeeping = 0
## pkPeriodVar = 0.05
## numCyclesPerRun = 100
## combinationKeys = ['algorithm', 'buffer', 'burstTimestamp', 'numMotes', 'numPacketsBurst', 'otfThreshold', 'parents', 'pkPeriod', 'scheduler']
## numRuns = 2
## parents = 3
## otfThreshold = 10
## sixtopNoRemoveWorstCell = 0
## burstTimestamp = 20.0
## buffer = 100
## generateIndividualSummarys = False
## simDataDir = simData_notmoving
## numChans = 16
## minRssi = -97
## sixtopHousekeepingPeriod = 1.0
## numBroadcastCells = 3
## algorithm = local_voting
## numPacketsBurst = 80
## gui = False
## startTime = 1567188506.47
## otfEnabled = True
## slotDuration = 0.01
## overlappingBrCells = 0
## noInterference = 0


# LoadAllAvg LoadAllAvgWithZero LoadAllG LoadAllJain LoadAllMax LoadAllMin LoadCong5Avg LoadCong5AvgWithZero LoadCong5G LoadCong5Jain LoadCong5Max LoadCong5Min LoadCongAvg LoadCongAvgWithZero LoadCongG LoadCongJain LoadCongMax LoadCongMin PKTRX PKTTX appGenerated appReachesDagroot appRelayed aveHops aveHopsPackets aveLatency aveQueueDelay cellsNotGiven chargeConsumed collidedTxs cycle droppedAppFailedEnqueue droppedMacRetries droppedNoRoute droppedNoTxCells droppedQueueFull effectiveCollidedTxs numRandomSelections numReqCells numRx numRxCells numTx numTxCells otfAdd otfRemove probableCollisions rplChurnParentSet rplChurnPrefParent rplChurnRank rplRxDIO rplTxDIO runNum rxBroadcast scheduleCollisions thReqCells topRxRelocatedCells topTxRelocatedBundles topTxRelocatedCells txBroadcast txQueueFill
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0              0          0             0             0              0           0     0                       0                 0              0                0                0                    0                   0           0     0          0     0          0      0         0                  0                 0                  0            0        0        0      0           0                  0          0                   0                     0                   0           0           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            143          0             0             0        369.000           8     1                       0                 0              0                0                0                    2                   0           0     0         45     0         45     45         0                  0                93                 15           13      230       50      0           0                  4          0                   0                     0                   0           0           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            132          0             0             0      23668.560          10     2                       0                 0              0                0                0                    2                   0           0     0         89     0         89     45         0                  0                 5                 12            5      230       50      0       13200                  5          0                   0                     0                   0        2400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            132          0             0             0      83053.900          10     3                       0                 0              0                0                0                    2                   0           0     0         89     0         89      0         0                  0                 0                 14            0      230       50      0       13600                  5          0                   0                     0                   0        2500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            132          0             0             0     106888.960          10     4                       0                 0              0                0                0                    2                   0           0     0         89     0         89      0         0                  0                 0                 14            0      230       50      0       27100                  5          0                   0                     0                   0        4900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            132          0             0             0     166403.600          10     5                       0                 0              0                0                0                    2                   0           0     0         89     0         89      0         0                  0                 0                 14            0      230       50      0       27600                  5          0                   0                     0                   0        5000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            132          0             0             0     190497.260          10     6                       0                 0              0                0                0                    2                   0           0     0         89     0         89      0         0                  0                 0                 14            0      230       50      0       41300                  5          0                   0                     0                   0        7400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            132          0             0             0     249947.250          10     7                       0                 0              0                0                0                    2                   0           0     0         89     0         89      0         0                  0                 0                 14            0      230       50      0       41750                  5          0                   0                     0                   0        7500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            132          0             0             0     274622.760          10     8                       0                 0              0                0                0                    2                   0           0     0         89     0         89      0         0                  0                 0                 14            0      230       50      0       55900                  5          0                   0                     0                   0        9900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            132          0             0             0     334008.100          10     9                       0                 0              0                0                0                    2                   0           0     0         89     0         89      0         0                  0                 0                 14            0      230       50      0       56300                  5          0                   0                     0                   0       10000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            132          0             0             0     358295.710          10    10                       0                 0              0                0                0                    2                   0           0     0         89     0         89      0         0                  0                 0                 14            0      230       50      0       70150                  5          0                   0                     0                   0       12400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            132          0             0             0     417810.350          10    11                       0                 0              0                0                0                    2                   0           0     0         89     0         89      0         0                  0                 0                 14            0      230       50      0       70650                  5          0                   0                     0                   0       12500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            132          0             0             0     442744.460          10    12                       0                 0              0                0                0                    2                   0           0     0         89     0         89      0         0                  0                 0                 14            0      230       50      0       85000                  5          0                   0                     0                   0       14900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            132          0             0             0     502065.150          10    13                       0                 0              0                0                0                    2                   0           0     0         89     0         89      0         0                  0                 0                 14            0      230       50      0       85350                  5          0                   0                     0                   0       15000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            132          0             0             0     526029.510          10    14                       0                 0              0                0                0                    2                   0           0     0         89     0         89      0         0                  0                 0                 14            0      230       50      0       98950                  5          0                   0                     0                   0       17400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            132          0             0             0     585414.850          10    15                       0                 0              0                0                0                    2                   0           0     0         89     0         89      0         0                  0                 0                 14            0      230       50      0       99350                  5          0                   0                     0                   0       17500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            132          0             0             0     609831.760          10    16                       0                 0              0                0                0                    2                   0           0     0         89     0         89      0         0                  0                 0                 14            0      230       50      0      113300                  5          0                   0                     0                   0       19900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            132          0             0             0     669217.100          10    17                       0                 0              0                0                0                    2                   0           0     0         89     0         89      0         0                  0                 0                 14            0      230       50      0      113700                  5          0                   0                     0                   0       20000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            132          0             0             0     694151.210          10    18                       0                 0              0                0                0                    2                   0           0     0         89     0         89      0         0                  0                 0                 14            0      230       50      0      128050                  5          0                   0                     0                   0       22400           0
      39.685             38.891    0.000       0.586    106.000      0.327       55.386               38.770      0.000         0.815      106.000       26.000      55.386              38.770     0.000        0.815     106.000      26.000    13  3920         3920                13        156   1.000            132     17.462       340.933             0     778888.840        1721    19                       0                 0              0                0                0                   23                   0           0   169       2371   192       2371     23         0                 29                 0                 14            0      230       50      0      128400                959        132                   0                     0                   0       22500        3907
       0.719              0.590    0.000       0.228      8.500      0.006        2.450                0.343      0.000         0.486        8.500        1.104       2.450               0.343     0.000        0.486       8.500       1.104   630  3920            0               617       3079   1.339            134     75.836      3560.475             0    1522669.620        7877    20                       0                 0              0                0                0                 3678                  25           0  3865       7879  5983       7879     72        20               3488                15                 20           32      228       50      0      142400               6311        132                   7                     0                   0       24900        3290
       2.050              1.353    0.000       0.143     26.333      0.050        6.307                1.135      0.000         0.372       26.333        1.028       6.307               1.135     0.000        0.372      26.333       1.028  1293  3920            0               663       2419   1.903            156    171.261      4203.533             0    2176851.200        3946    21                       0                 0              0                0                0                  395                  28           0  6947       4066 10735       4066     39        60               2744                29                 22           32      185       50      0      142800               2500        132                   9                     0                   0       25000        2627
       1.256              0.628    0.000       0.501      6.000      0.067        2.209                0.442      0.000         0.695        6.000        1.099       2.190               0.482     0.000        0.711       6.000       1.099  1925  3920            0               632       1740   2.528            134    268.748      3687.016             0    2587275.020        1727    22                       0                 0              0                0                0                  173                  30           0  9319       2376 13638       2376     39        40                963                39                 22           58      217       50      0      157000                940        132                   1                     0                   0       27400        1995
       0.884              0.442    0.000       0.664      3.393      0.071        1.471                0.235      0.010         0.797        3.393        1.006       1.471               0.235     0.010        0.797       3.393       1.006  2391  3920            0               466       1120   3.382            132    366.253      3118.834             0    2888198.980         934    23                       0                 0              0                0                0                   22                  30           0 10905       1806 15424       1806     43        31                222                26                 23           59      227       50      0      157300                478        132                   0                     0                   0       27500        1529
       0.708              0.297    0.002       0.881      1.163      0.230        1.108                0.066      0.988         0.999        1.163        1.077       1.108               0.066     0.988        0.999       1.163       1.077  2905  3920            0               514        624   4.418            132    472.508      3089.343             0    3083264.820         398    24                       0                 0              0                0                0                   16                  30           0 12043       1456 16668       1456     22        38                 60                25                 14           59      230       50      0      171700                200        132                   0                     0                   0       29900        1015
       0.580              0.232    0.000       0.724      1.667      0.200        1.379                0.055      0.856         0.958        1.667        1.091       1.379               0.055     0.856        0.958       1.667       1.091  3560  3920            0               655        318   5.434            132    569.727      2883.381             0    3284535.660         108    25                       0                 0              0                0                0                    3                  30           0 13016        823 17693        823      8        35                 25                 8                 16           60      230       50      0      172200                 54        132                   0                     0                   0       30000         360
       1.116              0.312    0.000       0.516      4.000      0.111        2.333                0.093      0.766         0.925        3.000        1.667       2.542               0.203     0.312        0.861       4.000       1.500  3852  3920            0               292        110   6.562            132    657.682      2534.348             0    3367971.090          14    26                       0                 0              0                0                0                    0                  30           0 13418        191 18119        191     16        28                  4                 9                  9           56      230       50      0      185750                  7        132                   0                     0                   0       32400          68
       0.455              0.036    0.251       0.809      0.667      0.154            0                    0          1             1            0            0           0                   0         1            1           0           0  3909  3920            0                57         31   7.404            132    776.474      1882.193             0    3440542.980          12    27                       0                 0              0                0                0                    0                  30           0 13506        159 18214        159     10        17                  0                 5                 13           52      230       50      0      186200                  6        132                   0                     0                   0       32500          11
       0.333              0.007    1.000       1.000      0.333      0.333            0                    0          1             1            0            0           0                   0         1            1           0           0  3919  3920            0                10          5   9.400            132    870.900       427.321             0    3466774.780           2    28                       0                 0              0                0                0                    0                  30           0 13521        102 18231        102      5        10                  0                 7                 18           48      230       50      0      199600                  1        132                   0                     0                   0       34900           1
       1.000              0.020    1.000       1.000      1.000      1.000            0                    0          1             1            0            0           0                   0         1            1           0           0  3919  3920            0                 0          2       0            132          0       334.000             0    3526664.960           2    29                       0                 0              0                0                0                    0                  30           0 13523        101 18233        101      2         1                  0                 2                 15           38      230       50      0      200000                  1        132                   0                     0                   0       35000           1
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 1          0   7.000            132   1053.000        44.000             0    3551703.590           2    30                       0                 0              0                0                0                    0                  30           0 13524         99 18234         99      1         0                  0                 4                 13           13      230       50      0      214150                  1        132                   0                     0                   0       37400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            132          0             0             0    3611374.980           4    31                       0                 0              0                0                0                    0                  30           0 13524         98 18234         98      1         1                  0                 1                 12            7      230       50      0      214600                  2        132                   0                     0                   0       37500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            132          0             0             0    3635585.340           4    32                       0                 0              0                0                0                    0                  30           0 13524         98 18234         98      0         0                  0                 0                 12           11      230       50      0      228200                  2        132                   0                     0                   0       39900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            132          0             0             0    3695232.130           2    33                       0                 0              0                0                0                    0                  30           0 13524         97 18234         97      0         0                  0                 1                 12            4      230       50      0      228650                  1        132                   0                     0                   0       40000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            132          0             0             0    3719870.440           2    34                       0                 0              0                0                0                    0                  30           0 13524         97 18234         97      0         0                  0                 0                 12            0      230       50      0      242600                  1        132                   0                     0                   0       42400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            132          0             0             0    3779581.880           2    35                       0                 0              0                0                0                    0                  30           0 13524         97 18234         97      0         0                  0                 0                 12            0      230       50      0      243100                  1        132                   0                     0                   0       42500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            132          0             0             0    3803702.990           2    36                       0                 0              0                0                0                    0                  30           0 13524         97 18234         97      0         0                  0                 0                 12            0      230       50      0      256650                  1        132                   0                     0                   0       44900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            132          0             0             0    3863220.480           2    37                       0                 0              0                0                0                    0                  30           0 13524         97 18234         97      0         0                  0                 0                 12            0      230       50      0      257000                  1        132                   0                     0                   0       45000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            132          0             0             0    3886436.490           2    38                       0                 0              0                0                0                    0                  30           0 13524         97 18234         97      0         0                  0                 0                 12            0      230       50      0      269850                  1        132                   0                     0                   0       47400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            132          0             0             0    3945953.980           2    39                       0                 0              0                0                0                    0                  30           0 13524         97 18234         97      0         0                  0                 0                 12            0      230       50      0      270200                  1        132                   0                     0                   0       47500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            132          0             0             0    3970592.290           2    40                       0                 0              0                0                0                    0                  30           0 13524         97 18234         97      0         0                  0                 0                 12            0      230       50      0      284150                  1        132                   0                     0                   0       49900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            132          0             0             0    4030174.430           2    41                       0                 0              0                0                0                    0                  30           0 13524         97 18234         97      0         0                  0                 0                 12            0      230       50      0      284550                  1        132                   0                     0                   0       50000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            132          0             0             0    4054036.940           2    42                       0                 0              0                0                0                    0                  30           0 13524         97 18234         97      0         0                  0                 0                 12            0      230       50      0      297900                  1        132                   0                     0                   0       52400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            132          0             0             0    4113619.080           2    43                       0                 0              0                0                0                    0                  30           0 13524         97 18234         97      0         0                  0                 0                 12            0      230       50      0      298300                  1        132                   0                     0                   0       52500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            132          0             0             0    4137869.490           2    44                       0                 0              0                0                0                    0                  30           0 13524         97 18234         97      0         0                  0                 0                 12            0      230       50      0      311950                  1        132                   0                     0                   0       54900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            132          0             0             0    4197580.930           2    45                       0                 0              0                0                0                    0                  30           0 13524         97 18234         97      0         0                  0                 0                 12            0      230       50      0      312450                  1        132                   0                     0                   0       55000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            132          0             0             0    4222671.790           2    46                       0                 0              0                0                0                    0                  30           0 13524         97 18234         97      0         0                  0                 0                 12            0      230       50      0      326750                  1        132                   0                     0                   0       57400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            132          0             0             0    4282253.930           2    47                       0                 0              0                0                0                    0                  30           0 13524         97 18234         97      0         0                  0                 0                 12            0      230       50      0      327150                  1        132                   0                     0                   0       57500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            132          0             0             0    4306568.990           2    48                       0                 0              0                0                0                    0                  30           0 13524         97 18234         97      0         0                  0                 0                 12            0      230       50      0      340850                  1        132                   0                     0                   0       59900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            132          0             0             0    4366215.780           2    49                       0                 0              0                0                0                    0                  30           0 13524         97 18234         97      0         0                  0                 0                 12            0      230       50      0      341300                  1        132                   0                     0                   0       60000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            132          0             0             0    4391371.290           2    50                       0                 0              0                0                0                    0                  30           0 13524         97 18234         97      0         0                  0                 0                 12            0      230       50      0      355650                  1        132                   0                     0                   0       62400           0
