## dioPeriod = 1.0
## scheduler = deBras
## numMotes = 50
## otfHousekeepingPeriod = 1.0
## slotframeLength = 101
## squareSide = 2.0
## cpuID = 36
## sixtopPdrThreshold = 1.5
## pkPeriod = 16.0
## sixtopNoHousekeeping = 0
## pkPeriodVar = 0.05
## numCyclesPerRun = 100
## combinationKeys = ['algorithm', 'buffer', 'burstTimestamp', 'numMotes', 'numPacketsBurst', 'otfThreshold', 'parents', 'pkPeriod', 'scheduler']
## numRuns = 2
## parents = 3
## otfThreshold = 10
## sixtopNoRemoveWorstCell = 0
## burstTimestamp = 20.0
## buffer = 100
## generateIndividualSummarys = False
## simDataDir = simData_notmoving
## numChans = 16
## minRssi = -97
## sixtopHousekeepingPeriod = 1.0
## numBroadcastCells = 3
## algorithm = local_voting_z
## numPacketsBurst = 80
## gui = False
## startTime = 1567188506.34
## otfEnabled = True
## slotDuration = 0.01
## overlappingBrCells = 0
## noInterference = 0


# LoadAllAvg LoadAllAvgWithZero LoadAllG LoadAllJain LoadAllMax LoadAllMin LoadCong5Avg LoadCong5AvgWithZero LoadCong5G LoadCong5Jain LoadCong5Max LoadCong5Min LoadCongAvg LoadCongAvgWithZero LoadCongG LoadCongJain LoadCongMax LoadCongMin PKTRX PKTTX appGenerated appReachesDagroot appRelayed aveHops aveHopsPackets aveLatency aveQueueDelay cellsNotGiven chargeConsumed collidedTxs cycle droppedAppFailedEnqueue droppedMacRetries droppedNoRoute droppedNoTxCells droppedQueueFull effectiveCollidedTxs numRandomSelections numReqCells numRx numRxCells numTx numTxCells otfAdd otfRemove probableCollisions rplChurnParentSet rplChurnPrefParent rplChurnRank rplRxDIO rplTxDIO runNum rxBroadcast scheduleCollisions thReqCells topRxRelocatedCells topTxRelocatedBundles topTxRelocatedCells txBroadcast txQueueFill
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0              0          0             0             0              0           0     0                       0                 0              0                0                0                    0                   0           0     0          0     0          0      0         0                  0                 0                  0            0        0        0      0           0                  0          0                   0                     0                   0           0           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            124          0             0             0        147.600           2     1                       0                 0              0                0                0                    0                   0           0     0         45     0         45     45         0                  0                86                 12            8      219       50      0           0                  1          0                   0                     0                   0           0           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            123          0             0             0      23539.860           5     2                       0                 0              0                0                0                    1                   0           0     0         81     0         81     37         0                  0                 2                 20            1      219       50      0       13500                  3          0                   0                     0                   0        2400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            123          0             0             0      82728.400           5     3                       0                 0              0                0                0                    1                   0           0     0         81     0         81      0         0                  0                 0                 20            0      219       50      0       13900                  3          0                   0                     0                   0        2500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            123          0             0             0     105938.710           5     4                       0                 0              0                0                0                    1                   0           0     0         81     0         81      0         0                  0                 0                 20            0      219       50      0       27050                  3          0                   0                     0                   0        4900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            123          0             0             0     165062.600           5     5                       0                 0              0                0                0                    1                   0           0     0         81     0         81      0         0                  0                 0                 20            0      219       50      0       27400                  3          0                   0                     0                   0        5000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            123          0             0             0     187497.110           5     6                       0                 0              0                0                0                    1                   0           0     0         81     0         81      0         0                  0                 0                 20            0      219       50      0       39950                  3          0                   0                     0                   0        7400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            123          0             0             0     246556.350           5     7                       0                 0              0                0                0                    1                   0           0     0         81     0         81      0         0                  0                 0                 20            0      219       50      0       40250                  3          0                   0                     0                   0        7500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            123          0             0             0     269120.160           5     8                       0                 0              0                0                0                    1                   0           0     0         81     0         81      0         0                  0                 0                 20            0      219       50      0       52900                  3          0                   0                     0                   0        9900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            123          0             0             0     328244.050           5     9                       0                 0              0                0                0                    1                   0           0     0         81     0         81      0         0                  0                 0                 20            0      219       50      0       53250                  3          0                   0                     0                   0       10000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            123          0             0             0     351001.810           5    10                       0                 0              0                0                0                    1                   0           0     0         81     0         81      0         0                  0                 0                 20            0      219       50      0       66050                  3          0                   0                     0                   0       12400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            123          0             0             0     410190.350           5    11                       0                 0              0                0                0                    1                   0           0     0         81     0         81      0         0                  0                 0                 20            0      219       50      0       66450                  3          0                   0                     0                   0       12500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            123          0             0             0     433659.260           5    12                       0                 0              0                0                0                    1                   0           0     0         81     0         81      0         0                  0                 0                 20            0      219       50      0       79800                  3          0                   0                     0                   0       14900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            123          0             0             0     492718.500           5    13                       0                 0              0                0                0                    1                   0           0     0         81     0         81      0         0                  0                 0                 20            0      219       50      0       80100                  3          0                   0                     0                   0       15000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            123          0             0             0     516381.360           5    14                       0                 0              0                0                0                    1                   0           0     0         81     0         81      0         0                  0                 0                 20            0      219       50      0       93600                  3          0                   0                     0                   0       17400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            123          0             0             0     575569.900           5    15                       0                 0              0                0                0                    1                   0           0     0         81     0         81      0         0                  0                 0                 20            0      219       50      0       94000                  3          0                   0                     0                   0       17500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            123          0             0             0     599232.760           5    16                       0                 0              0                0                0                    1                   0           0     0         81     0         81      0         0                  0                 0                 20            0      219       50      0      107500                  3          0                   0                     0                   0       19900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            123          0             0             0     658421.300           5    17                       0                 0              0                0                0                    1                   0           0     0         81     0         81      0         0                  0                 0                 20            0      219       50      0      107900                  3          0                   0                     0                   0       20000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            123          0             0             0     681437.660           5    18                       0                 0              0                0                0                    1                   0           0     0         81     0         81      0         0                  0                 0                 20            0      219       50      0      120900                  3          0                   0                     0                   0       22400           0
      51.686             50.652    0.000       0.668    121.000      0.111       64.880               50.607      0.000         0.838      121.000       26.000      64.880              50.607     0.000        0.838     121.000      26.000   102  3920         3920               102        183   1.000            123     11.324       230.213             0     783290.290        1761    19                       0                 0              0                0                0                   76                   0           0   285       2487   317       2487     17         0                 34                 0                 20            0      219       50      0      121150                967        123                   0                     0                   0       22500        3818
       0.819              0.655    0.000       0.086     17.059      0.004       10.522                0.421      0.359         0.722       17.059        3.986      10.522               0.421     0.359        0.722      17.059       3.986   883  3920            0               781       2662   1.668            124     66.417      3424.435           620    1633493.360       10327    20                       0                 1              0                0                0                 8091                  95           0  3728      10328  7215      10328     71        19               5206                13                 20           36      217       50      0      134600               8760        123                  21                     0                   0       24900        3036
       0.895              0.644    0.000       0.329      6.333      0.101        2.891                0.347      0.011         0.641        6.333        1.104       2.891               0.347     0.011        0.641       6.333       1.104  1512  3920            0               629       2369   2.132            137    179.771      4471.970             0    2373830.060        5301    21                       0                 2              0                0                0                  820                  99           0  6726       5330 12803       5330     32        60               3952                23                 19           26      164       50      0      135000               3762        123                  19                     0                   0       25000        2405
       1.599              1.088    0.000       0.093     30.000      0.025        4.403                0.881      0.000         0.210       30.000        1.019       4.403               0.881     0.000        0.210      30.000       1.019  2334  3920            0               822       1841   2.746            124    273.225      3659.099             0    2837426.460        2581    22                       0                 0              0                0                0                  183                 100           0  9389       3052 16020       3052     45        38               1098                26                 35           44      199       50      0      148200               1538        123                   2                     0                   0       27400        1583
       0.726              0.290    0.000       0.683      2.000      0.007        1.413                0.113      0.532         0.940        2.000        1.032       1.413               0.113     0.532        0.940       2.000       1.032  3139  3920            0               805        725   3.990            128    368.303      3872.069             0    3144047.010         671    23                       0                 0              0                0                0                   21                 100           0 10919       1470 17743       1470     23        48                272                16                 17           47      211       50      0      148550                353        123                   4                     0                   0       27500         778
       0.586              0.152    0.000       0.667      1.375      0.059        1.312                0.052      0.990         0.998        1.375        1.250       1.312               0.052     0.990        0.998       1.375       1.250  3556  3920            0               417        275   4.362            123    470.496      2614.331             0    3277739.770         198    24                       0                 0              0                0                0                    0                 100           0 11611        880 18488        880     21        38                 24                13                 26           51      218       50      0      162250                100        123                   1                     0                   0       29900         361
       0.574              0.080    0.035       0.790      1.000      0.125            0                    0          1             1            0            0           0                   0         1            1           0           0  3795  3920            0               239         91   5.318            123    565.833      1807.580             0    3388653.370          45    25                       0                 0              0                0                0                    0                 100           0 11941        422 18846        422     10        24                  0                19                 24           55      219       50      0      162550                 23        123                   0                     0                   0       30000         122
       0.798              0.032    0.101       0.564      1.500      0.097            0                    0          1             1            0            0       1.500               0.030     1.000        1.000       1.500       1.500  3908  3920            0               113          7   6.248            123    657.504      1256.324             0    3432176.020          11    26                       0                 0              0                0                0                    0                 100           0 12061        180 18978        180      4        19                  0                 7                 14           49      219       50      0      176000                  6        123                   0                     0                   0       32400           9
       0.333              0.007    1.000       1.000      0.333      0.333            0                    0          1             1            0            0           0                   0         1            1           0           0  3916  3920            0                 8          4   6.500            123    748.750       621.250             0    3493917.390           3    27                       0                 0              0                0                0                    0                 100           0 12073         88 18992         88      6         7                  0                14                 12           39      219       50      0      176350                  2        123                   0                     0                   0       32500           1
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3917  3920            0                 1          2   4.000            123    880.000       539.000             0    3517564.860           3    28                       0                 0              0                0                0                    0                 100           0 12076         96 18995         96      7         0                  0                 5                 12           21      219       50      0      189300                  2        123                   0                     0                   0       34900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3917  3920            0                 0          0       0            123          0             0             0    3576796.300           3    29                       0                 0              0                0                0                    0                 100           0 12076         88 18995         88      0         1                  0                 5                  5           14      219       50      0      189600                  2        123                   0                     0                   0       35000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3917  3920            0                 0          0       0            123          0             0             0    3599403.010           3    30                       0                 0              0                0                0                    0                 100           0 12076         87 18995         87      1         1                  0                 1                  5            1      219       50      0      202150                  2        123                   0                     0                   0       37400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3917  3920            0                 0          0       0            123          0             0             0    3658699.100           3    31                       0                 0              0                0                0                    0                 100           0 12076         89 18995         89      2         0                  0                 4                  8           12      219       50      0      202500                  2        123                   0                     0                   0       37500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3917  3920            0                 0          0       0            123          0             0             0    3681450.560           3    32                       0                 0              0                0                0                    0                 100           0 12076         86 18995         86      0         0                  0                 3                  8            1      219       50      0      215200                  2        123                   0                     0                   0       39900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3917  3920            0                 0          0       0            123          0             0             0    3740697.450           3    33                       0                 0              0                0                0                    0                 100           0 12076         86 18995         86      0         0                  0                 0                  8            0      219       50      0      215550                  2        123                   0                     0                   0       40000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3917  3920            0                 0          0       0            123          0             0             0    3764224.710           3    34                       0                 0              0                0                0                    0                 100           0 12076         86 18995         86      0         0                  0                 0                  8            0      219       50      0      228850                  2        123                   0                     0                   0       42400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3917  3920            0                 0          0       0            123          0             0             0    3823536.250           3    35                       0                 0              0                0                0                    0                 100           0 12076         86 18995         86      0         0                  0                 0                  8            0      219       50      0      229250                  2        123                   0                     0                   0       42500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3917  3920            0                 0          0       0            123          0             0             0    3846998.860           3    36                       0                 0              0                0                0                    0                 100           0 12076         86 18995         86      0         0                  0                 0                  8            0      219       50      0      242500                  2        123                   0                     0                   0       44900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3917  3920            0                 0          0       0            123          0             0             0    3906310.400           3    37                       0                 0              0                0                0                    0                 100           0 12076         86 18995         86      0         0                  0                 0                  8            0      219       50      0      242900                  2        123                   0                     0                   0       45000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3917  3920            0                 0          0       0            123          0             0             0    3929255.810           3    38                       0                 0              0                0                0                    0                 100           0 12076         86 18995         86      0         0                  0                 0                  8            0      219       50      0      255750                  2        123                   0                     0                   0       47400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3917  3920            0                 0          0       0            123          0             0             0    3988438.050           3    39                       0                 0              0                0                0                    0                 100           0 12076         86 18995         86      0         0                  0                 0                  8            0      219       50      0      256050                  2        123                   0                     0                   0       47500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3917  3920            0                 0          0       0            123          0             0             0    4011771.360           3    40                       0                 0              0                0                0                    0                 100           0 12076         86 18995         86      0         0                  0                 0                  8            0      219       50      0      269200                  2        123                   0                     0                   0       49900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3917  3920            0                 0          0       0            123          0             0             0    4070953.600           3    41                       0                 0              0                0                0                    0                 100           0 12076         86 18995         86      0         0                  0                 0                  8            0      219       50      0      269500                  2        123                   0                     0                   0       50000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3917  3920            0                 0          0       0            123          0             0             0    4094868.760           3    42                       0                 0              0                0                0                    0                 100           0 12076         86 18995         86      0         0                  0                 0                  8            0      219       50      0      283100                  2        123                   0                     0                   0       52400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3917  3920            0                 0          0       0            123          0             0             0    4154180.300           3    43                       0                 0              0                0                0                    0                 100           0 12076         86 18995         86      0         0                  0                 0                  8            0      219       50      0      283500                  2        123                   0                     0                   0       52500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3917  3920            0                 0          0       0            123          0             0             0    4176996.410           3    44                       0                 0              0                0                0                    0                 100           0 12076         86 18995         86      0         0                  0                 0                  8            0      219       50      0      296250                  2        123                   0                     0                   0       54900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3917  3920            0                 0          0       0            123          0             0             0    4236307.950           3    45                       0                 0              0                0                0                    0                 100           0 12076         86 18995         86      0         0                  0                 0                  8            0      219       50      0      296650                  2        123                   0                     0                   0       55000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3917  3920            0                 0          0       0            123          0             0             0    4259899.860           3    46                       0                 0              0                0                0                    0                 100           0 12076         86 18995         86      0         0                  0                 0                  8            0      219       50      0      310000                  2        123                   0                     0                   0       57400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3917  3920            0                 0          0       0            123          0             0             0    4319082.100           3    47                       0                 0              0                0                0                    0                 100           0 12076         86 18995         86      0         0                  0                 0                  8            0      219       50      0      310300                  2        123                   0                     0                   0       57500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3917  3920            0                 0          0       0            123          0             0             0    4342350.760           3    48                       0                 0              0                0                0                    0                 100           0 12076         86 18995         86      0         0                  0                 0                  8            0      219       50      0      323400                  2        123                   0                     0                   0       59900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3917  3920            0                 0          0       0            123          0             0             0    4401791.600           3    49                       0                 0              0                0                0                    0                 100           0 12076         86 18995         86      0         0                  0                 0                  8            0      219       50      0      323900                  2        123                   0                     0                   0       60000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3917  3920            0                 0          0       0            123          0             0             0    4425189.560           3    50                       0                 0              0                0                0                    0                 100           0 12076         86 18995         86      0         0                  0                 0                  8            0      219       50      0      337100                  2        123                   0                     0                   0       62400           0
