## dioPeriod = 1.0
## scheduler = deBras
## numMotes = 50
## otfHousekeepingPeriod = 1.0
## slotframeLength = 101
## squareSide = 2.0
## cpuID = 53
## sixtopPdrThreshold = 1.5
## pkPeriod = 16.0
## sixtopNoHousekeeping = 0
## pkPeriodVar = 0.05
## numCyclesPerRun = 100
## combinationKeys = ['algorithm', 'buffer', 'burstTimestamp', 'numMotes', 'numPacketsBurst', 'otfThreshold', 'parents', 'pkPeriod', 'scheduler']
## numRuns = 2
## parents = 3
## otfThreshold = 4
## sixtopNoRemoveWorstCell = 0
## burstTimestamp = 20.0
## buffer = 100
## generateIndividualSummarys = False
## simDataDir = simData_notmoving
## numChans = 16
## minRssi = -97
## sixtopHousekeepingPeriod = 1.0
## numBroadcastCells = 3
## algorithm = otf
## numPacketsBurst = 80
## gui = False
## startTime = 1567188506.48
## otfEnabled = True
## slotDuration = 0.01
## overlappingBrCells = 0
## noInterference = 0


# LoadAllAvg LoadAllAvgWithZero LoadAllG LoadAllJain LoadAllMax LoadAllMin LoadCong5Avg LoadCong5AvgWithZero LoadCong5G LoadCong5Jain LoadCong5Max LoadCong5Min LoadCongAvg LoadCongAvgWithZero LoadCongG LoadCongJain LoadCongMax LoadCongMin PKTRX PKTTX appGenerated appReachesDagroot appRelayed aveHops aveHopsPackets aveLatency aveQueueDelay cellsNotGiven chargeConsumed collidedTxs cycle droppedAppFailedEnqueue droppedMacRetries droppedNoRoute droppedNoTxCells droppedQueueFull effectiveCollidedTxs numRandomSelections numReqCells numRx numRxCells numTx numTxCells otfAdd otfRemove probableCollisions rplChurnParentSet rplChurnPrefParent rplChurnRank rplRxDIO rplTxDIO runNum rxBroadcast scheduleCollisions thReqCells topRxRelocatedCells topTxRelocatedBundles topTxRelocatedCells txBroadcast txQueueFill
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0              0          0             0             0              0           0     0                       0                 0              0                0                0                    0                   0           0     0          0     0          0      0         0                  0                 0                  0            0        0        0      0           0                  0          0                   0                     0                   0           0           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            127          0             0             0        418.200           0     1                       0                 0              0                0                0                    0                   0           0     0         42     0         42     42         0                  0                76                  6            6      197       50      0           0                  0          0                   0                     0                   0           0           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            120          0             0             0      20882.910           0     2                       0                 0              0                0                0                    0                   0           0     0         73     0         73     31         0                  0                 5                  3            6      197       50      0       11350                  0          0                   0                     0                   0        2400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            120          0             0             0      79874.650           0     3                       0                 0              0                0                0                    0                   0           0     0         73     0         73      0         0                  0                 0                  3            0      197       50      0       11750                  0          0                   0                     0                   0        2500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            120          0             0             0     100819.360           0     4                       0                 0              0                0                0                    0                   0           0     0         73     0         73      0         0                  0                 0                  3            0      197       50      0       23300                  0          0                   0                     0                   0        4900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            120          0             0             0     159940.400           0     5                       0                 0              0                0                0                    0                   0           0     0         73     0         73      0         0                  0                 0                  3            0      197       50      0       23800                  0          0                   0                     0                   0        5000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            120          0             0             0     181402.310           0     6                       0                 0              0                0                0                    0                   0           0     0         73     0         73      0         0                  0                 0                  3            0      197       50      0       35750                  0          0                   0                     0                   0        7400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            120          0             0             0     240523.350           0     7                       0                 0              0                0                0                    0                   0           0     0         73     0         73      0         0                  0                 0                  3            0      197       50      0       36250                  0          0                   0                     0                   0        7500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            120          0             0             0     261920.610           0     8                       0                 0              0                0                0                    0                   0           0     0         73     0         73      0         0                  0                 0                  3            0      197       50      0       48150                  0          0                   0                     0                   0        9900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            120          0             0             0     320912.350           0     9                       0                 0              0                0                0                    0                   0           0     0         73     0         73      0         0                  0                 0                  3            0      197       50      0       48550                  0          0                   0                     0                   0       10000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            120          0             0             0     342309.610           0    10                       0                 0              0                0                0                    0                   0           0     0         73     0         73      0         0                  0                 0                  3            0      197       50      0       60450                  0          0                   0                     0                   0       12400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            120          0             0             0     401301.350           0    11                       0                 0              0                0                0                    0                   0           0     0         73     0         73      0         0                  0                 0                  3            0      197       50      0       60850                  0          0                   0                     0                   0       12500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            120          0             0             0     422763.260           0    12                       0                 0              0                0                0                    0                   0           0     0         73     0         73      0         0                  0                 0                  3            0      197       50      0       72800                  0          0                   0                     0                   0       14900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            120          0             0             0     481948.950           0    13                       0                 0              0                0                0                    0                   0           0     0         73     0         73      0         0                  0                 0                  3            0      197       50      0       73350                  0          0                   0                     0                   0       15000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            120          0             0             0     503022.960           0    14                       0                 0              0                0                0                    0                   0           0     0         73     0         73      0         0                  0                 0                  3            0      197       50      0       85000                  0          0                   0                     0                   0       17400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            120          0             0             0     562079.350           0    15                       0                 0              0                0                0                    0                   0           0     0         73     0         73      0         0                  0                 0                  3            0      197       50      0       85450                  0          0                   0                     0                   0       17500           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            120          0             0             0     583347.310           0    16                       0                 0              0                0                0                    0                   0           0     0         73     0         73      0         0                  0                 0                  3            0      197       50      0       97250                  0          0                   0                     0                   0       19900           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            120          0             0             0     642403.700           0    17                       0                 0              0                0                0                    0                   0           0     0         73     0         73      0         0                  0                 0                  3            0      197       50      0       97700                  0          0                   0                     0                   0       20000           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0     0     0            0                 0          0       0            120          0             0             0     663607.010           0    18                       0                 0              0                0                0                    0                   0           0     0         73     0         73      0         0                  0                 0                  3            0      197       50      0      109450                  0          0                   0                     0                   0       22400           0
      55.552             54.441    0.000       0.769     82.000      0.679       64.679               54.330      0.001         0.894       82.000       26.333      64.679              54.330     0.001        0.894      82.000      26.333    15  3920         3920                15         45   1.000            120      7.467       173.089             0     731382.980         181    19                       0                 0              0                0                0                    5                   0         519    60        731    64        731     10         0                  0                 0                  3            0      197       50      0      110000                 92        120                   0                     0                   0       22500        3905
       1.111              1.067    0.000       0.303      9.500      0.130        2.791                0.614      0.000         0.479        9.500        1.026       2.683               0.644     0.000        0.477       9.500       1.026   553  3920            0               538       2086   1.058            122     80.481      4156.974             0    1187136.150        4525    20                       0                 0              0                0                0                  724                   4        3515  2684       4658  3392       4658     67        10               1356                 7                  3           17      196       50      0      122850               3090        120                   0                     0                   0       24900        3367
       5.054              4.346    0.000       0.289     42.000      0.132        7.210                4.182      0.000         0.398       42.000        1.062       7.210               4.182     0.000        0.398      42.000       1.062  1216  3920            0               663       1807   1.655            130    170.110      6683.110             0    1657205.210        1742    21                       0                 0              0                0                0                  120                   4        1428  5154       2474  6563       2474     28        44               1188                26                 15           46      180       50      0      123150                969        120                   1                     0                   0       25000        2704
       7.322              5.565    0.000       0.117    125.000      0.048       10.429                5.423      0.000         0.162      125.000        1.032      10.429               5.423     0.000        0.162     125.000       1.032  1826  3920            0               610       1241   2.482            125    272.907      7530.623             0    1962822.470        1240    22                       0                 0              0                0                0                   29                   4        1342  7005       2116  8648       2116     27        27                297                20                 18           55      189       50      0      135250                663        120                   0                     0                   0       27400        2094
       4.798              3.359    0.000       0.366     23.333      0.054        6.715                3.223      0.000         0.493       23.333        1.042       6.527               3.263     0.000        0.485      23.333       1.042  2429  3920            0               603        725   3.153            121    371.119      8177.571             0    2225216.570         619    23                       0                 0              0                0                0                   12                   4         922  8333       1509 10121       1509     18        32                134                15                 14           57      196       50      0      135550                321        120                   0                     0                   0       27500        1491
       5.608              3.477    0.000       0.314     39.000      0.016        7.408                3.408      0.000         0.407       39.000        1.200       7.408               3.408     0.000        0.407      39.000       1.200  2837  3920            0               408        467   3.537            120    464.699      9857.981             0    2379376.920         283    24                       0                 0              0                0                0                    4                   4         612  9208       1007 11058       1007     12        28                 40                11                 11           51      194       50      0      147900                142        120                   0                     0                   0       29900        1083
       5.239              2.829    0.000       0.427     21.333      0.040        6.102                2.807      0.000         0.494       21.333        1.098       6.102               2.807     0.000        0.494      21.333       1.098  3034  3920            0               197        320   3.944            120    572.198      9926.846             0    2520263.620         147    25                       0                 0              0                0                0                    0                   4         399  9725        720 11626        720     10        30                  9                14                  7           55      195       50      0      148400                 74        120                   0                     0                   0       30000         886
       5.380              2.798    0.000       0.462     20.333      0.039        6.389                2.683      0.000         0.532       20.333        1.095       6.280               2.763     0.000        0.534      20.333       1.095  3191  3920            0               157        267   4.287            120    671.382      9788.330             0    2607611.230          74    26                       0                 0              0                0                0                    0                   4         277 10149        553 12086        553      6        24                  6                 8                  1           51      196       50      0      160650                 37        120                   0                     0                   0       32400         729
       5.755              3.108    0.000       0.423     25.500      0.024        7.086                2.976      0.000         0.504       25.500        1.091       6.702               3.083     0.000        0.489      25.500       1.091  3289  3920            0                98        163   4.765            120    771.347      9845.737             0    2709024.670          40    27                       0                 0              0                0                0                    0                   4         170 10410        418 12381        418      8        23                  2                11                  5           55      195       50      0      161150                 20        120                   0                     0                   0       32500         631
       4.605              2.487    0.000       0.436     19.333      0.059        6.261                2.379      0.000         0.572       19.333        1.077       6.098               2.439     0.000        0.567      19.333       1.077  3384  3920            0                95        153   4.779            120    872.295     13316.517             0    2767813.860          34    28                       0                 0              0                0                0                    0                   4         140 10658        361 12645        361      5        10                  3                 8                  9           53      196       50      0      172900                 17        120                   0                     0                   0       34900         536
       4.532              2.266    0.000       0.432     18.333      0.047        7.899                2.054      0.000         0.696       18.333        2.421       7.246               2.174     0.000        0.664      18.333       2.000  3467  3920            0                83        117   4.759            120    976.819     13147.281             0    2857494.820          32    29                       0                 0              0                0                0                    0                   4         118 10858        307 12866        307      7        12                  0                10                  4           53      196       50      0      173300                 16        120                   0                     0                   0       35000         453
       5.258              1.998    0.000       0.537     17.333      0.400        7.441                1.786      0.000         0.699       17.333        2.111       6.878               1.926     0.000        0.679      17.333       2.111  3541  3920            0                74         95   5.189            120   1072.676     13953.944             0    2904718.450          26    30                       0                 0              0                0                0                    0                   4          97 11027        268 13047        268      5        12                  2                 6                  6           52      196       50      0      185250                 13        120                   0                     0                   0       37400         379
       4.643              1.857    0.000       0.484     16.333      0.037        7.448                1.639      0.000         0.709       16.333        1.556       6.495               1.819     0.000        0.664      16.333       1.556  3585  3920            0                44         80   5.341            120   1179.841     12282.185             0    2983380.560          24    31                       0                 0              0                0                0                    0                   4          82 11151        236 13183        236      4         6                  1                 6                  9           52      196       50      0      185700                 12        120                   0                     0                   0       37500         335
       4.177              1.587    0.000       0.484     15.333      0.143        6.418                1.412      0.000         0.680       15.333        1.800       5.543               1.552     0.000        0.629      15.333       1.800  3631  3920            0                46         68   5.457            120   1277.174     11589.263             0    3022778.520          20    32                       0                 0              0                0                0                    0                   4          74 11265        219 13308        219      2         5                  1                 2                  7           51      196       50      0      197600                 10        120                   0                     0                   0       39900         289
       4.233              1.439    0.000       0.498     14.333      0.143        6.920                1.246      0.004         0.733       14.333        2.143       6.207               1.366     0.000        0.697      14.333       2.000  3677  3920            0                46         55   6.283            120   1379.761     15166.848             0    3097324.750          20    33                       0                 0              0                0                0                    0                   4          65 11366        204 13415        204      3         3                  1                 4                  5           50      196       50      0      198050                 10        120                   0                     0                   0       40000         243
       4.824              1.254    0.000       0.581     13.667      0.200        6.465                1.164      0.003         0.737       13.667        1.429       6.118               1.224     0.001        0.721      13.667       1.429  3711  3920            0                34         46   5.618            120   1478.824     14635.356             0    3131775.610          20    34                       0                 0              0                0                0                    0                   4          61 11446        196 13510        196      0         2                  1                 1                  5           51      196       50      0      209650                 10        120                   0                     0                   0       42400         209
       4.784              1.052    0.000       0.605     12.667      0.077        6.506                0.911      0.017         0.750       12.667        1.875       5.727               1.031     0.002        0.711      12.667       1.875  3748  3920            0                37         31   6.054            120   1581.568     11892.312             0    3201917.850          16    35                       0                 0              0                0                0                    0                   4          53 11514        172 13580        172      1         6                  0                 2                  9           51      196       50      0      210150                  8        120                   0                     0                   0       42500         172
       4.183              0.920    0.000       0.555     12.000      0.077        6.739                0.809      0.074         0.812       12.000        2.400       6.205               0.869     0.028        0.782      12.000       2.400  3774  3920            0                26         27   6.038            120   1687.731     10917.697             0    3232174.590           8    36                       0                 0              0                0                0                    0                   4          50 11567        167 13639        167      2         2                  0                 2                  9           41      196       50      0      222050                  4        120                   0                     0                   0       44900         146
       4.143              0.746    0.000       0.575     11.000      0.077        5.827                0.699      0.036         0.769       11.000        1.286       5.280               0.739     0.010        0.726      11.000       1.286  3800  3920            0                26         33   6.346            120   1788.846     11218.844             0    3300891.410           8    37                       0                 0              0                0                0                    0                   4          47 11626        169 13703        169      1         0                  0                 1                  8           39      196       50      0      222550                  4        120                   0                     0                   0       45000         120
       4.561              0.639    0.003       0.667     10.000      0.714        6.042                0.604      0.164         0.842       10.000        2.111       6.042               0.604     0.164        0.842      10.000       2.111  3822  3920            0                22         21   6.318            120   1881.682      7185.393             0    3330736.450           8    38                       0                 0              0                0                0                    0                   4          45 11669        167 13747        167      0         0                  0                 1                  9           36      196       50      0      235250                  4        120                   0                     0                   0       47400          98
       4.242              0.594    0.000       0.660      9.000      0.143        5.860                0.586      0.305         0.900        9.000        3.800       5.860               0.586     0.305        0.900       9.000       3.800  3837  3920            0                15         16   6.200            120   1977.467      7260.433             0    3395749.410          10    39                       0                 0              0                0                0                    0                   4          39 11700        160 13783        160      1         2                  0                 1                  9           35      196       50      0      235650                  5        120                   0                     0                   0       47500          83
       4.389              0.527    0.023       0.766      8.333      0.500        5.167                0.517      0.249         0.886        8.333        3.000       5.167               0.517     0.249        0.886       8.333       3.000  3847  3920            0                10         17   6.700            120   2078.000      7635.167             0    3422529.550          14    40                       0                 0              0                0                0                    0                   4          39 11727        160 13812        160      4         2                  0                 4                  8           35      196       50      0      247550                  7        120                   0                     0                   0       49900          73
       3.246              0.454    0.000       0.618      8.000      0.222        4.450                0.445      0.136         0.830        8.000        2.000       4.450               0.445     0.136        0.830       8.000       2.000  3856  3920            0                 9         17   6.333            120   2183.667      7872.800             0    3486882.940          14    41                       0                 0              0                0                0                    0                   4          37 11753        153 13842        153      0         1                  0                 1                  7           32      196       50      0      248000                  7        120                   0                     0                   0       50000          64
       3.158              0.379    0.003       0.654      7.333      0.167        3.696                0.296      0.093         0.723        7.333        1.200       3.757               0.376     0.071        0.771       7.333       1.200  3867  3920            0                11         16   4.727            120   2283.273      8161.750             0    3514405.640          14    42                       0                 0              0                0                0                    0                   4          36 11780        157 13874        157      2         0                  0                 1                  7           33      196       50      0      260400                  7        120                   0                     0                   0       52400          53
       2.059              0.288    0.000       0.528      6.333      0.111        3.952                0.158      0.380         0.734        6.333        1.571       2.781               0.278     0.034        0.690       6.333       1.500  3878  3920            0                11         17   5.545            120   2377.182      8151.643             0    3578897.380          12    43                       0                 0              0                0                0                    0                   4          35 11808        158 13904        158      1         0                  0                 2                  8           35      196       50      0      260800                  6        120                   0                     0                   0       52500          42
       2.133              0.213    0.005       0.583      5.333      0.333        3.917                0.157      0.672         0.884        5.333        2.500       3.278               0.197     0.373        0.833       5.333       2.000  3890  3920            0                12         12   4.667            120   2482.417      8216.500             0    3605008.870          12    44                       0                 0              0                0                0                    0                   4          35 11832        153 13928        153      2         1                  0                 5                  8           36      196       50      0      272650                  6        120                   0                     0                   0       54900          30
       2.583              0.155    0.161       0.689      5.000      1.000        3.375                0.135      0.522         0.812        5.000        1.750       3.375               0.135     0.522        0.812       5.000       1.750  3897  3920            0                 7          5   6.857            120   2588.857      7970.750             0    3667519.140          12    45                       0                 0              0                0                0                    0                   4          32 11844        153 13942        153      1         0                  0                 2                  7           38      196       50      0      273100                  6        120                   0                     0                   0       55000          23
       2.375              0.095    0.290       0.681      4.000      0.750        4.000                0.080      1.000         1.000        4.000        4.000       4.000               0.080     1.000        1.000       4.000       4.000  3905  3920            0                 8          3   4.000            120   2684.125      5385.000             0    3691929.570          12    46                       0                 0              0                0                0                    0                   4          32 11855        153 13953        153      1         0                  0                 2                  7           18      196       50      0      284850                  6        120                   0                     0                   0       57400          15
       3.000              0.060    1.000       1.000      3.000      3.000        3.000                0.060      1.000         1.000        3.000        3.000       3.000               0.060     1.000        1.000       3.000       3.000  3911  3920            0                 6          2   5.333            120   2773.667      2715.667             0    3753826.270          12    47                       0                 0              0                0                0                    0                   4          31 11863        153 13961        153      0         0                  0                 0                  7           12      196       50      0      285250                  6        120                   0                     0                   0       57500           9
       2.000              0.040    1.000       1.000      2.000      2.000        2.000                0.040      1.000         1.000        2.000        2.000       2.000               0.040     1.000        1.000       2.000       2.000  3914  3920            0                 3          2   4.667            120   2875.333      2565.667             0    3777647.830          12    48                       0                 0              0                0                0                    0                   4          31 11868        153 13966        153      0         0                  0                 0                  7            9      196       50      0      297050                  6        120                   0                     0                   0       59900           6
       1.000              0.020    1.000       1.000      1.000      1.000            0                    0          1             1            0            0           0                   0         1            1           0           0  3917  3920            0                 3          2   4.667            120   2976.333      2662.667             0    3839184.020          12    49                       0                 0              0                0                0                    0                   4          30 11873        148 13971        148      0         1                  0                 0                  6            8      196       50      0      297500                  6        120                   0                     0                   0       60000           3
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 3          2   4.667            120   3077.333      2762.000             0    3862891.730          14    50                       0                 0              0                0                0                    0                   4          31 11878        151 13976        151      1         0                  0                 0                  5            8      196       50      0      309250                  7        120                   0                     0                   0       62400           0
           0                  0        1           1          0          0            0                    0          1             1            0            0           0                   0         1            1           0           0  3920  3920            0                 0          0       0            120          0             0             0    3923737.620          14    51                       0                 0              0                0                0                    0                   4          31 11878        151 13976        151      0         0                  0                 0                  5            8      196       50      0      309600                  7        120                   0                     0                   0       62500           0
